,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,V200228C00160000,2020-02-12 11:52AM EST,160.0,30.0,27.45,29.2,-17.92,-37.40%,2,3,102.73,1
2,V200228C00167500,2020-02-25 11:41AM EST,167.5,26.1,19.5,22.45,0.0,-,1,1,110.45,1
3,V200228C00170000,2020-02-26 10:57AM EST,170.0,23.17,18.6,19.5,3.67,+18.82%,18,18,59.38,1
4,V200228C00172500,2020-01-22 10:02AM EST,172.5,37.4,35.75,37.4,0.0,-,-,0,424.61,1
5,V200228C00175000,2020-02-06 3:06PM EST,175.0,27.98,13.3,14.55,0.0,-,3,0,68.56,1
6,V200228C00177500,2020-02-12 9:32AM EST,177.5,11.5,11.4,11.85,0.0,-,50,50,52.69,1
7,V200228C00180000,2020-02-26 1:17PM EST,180.0,10.2,8.95,9.4,0.7,+7.37%,112,81,45.31,1
8,V200228C00182500,2020-02-26 1:39PM EST,182.5,6.84,6.75,7.0,-0.86,-11.17%,142,0,38.43,1
9,V200228C00185000,2020-02-26 2:16PM EST,185.0,5.0,4.7,4.9,-0.87,-14.82%,354,141,35.82,1
10,V200228C00187500,2020-02-26 2:13PM EST,187.5,3.35,3.2,3.1,-0.75,-18.29%,177,166,33.74,1
11,V200228C00190000,2020-02-26 2:15PM EST,190.0,1.97,1.86,1.96,-0.68,-25.66%,841,461,35.67,1
12,V200228C00192500,2020-02-26 2:15PM EST,192.5,1.07,0.95,0.96,-0.59,-35.54%,1686,570,33.5,1
13,V200228C00195000,2020-02-26 1:39PM EST,195.0,0.38,0.46,0.52,-0.54,-58.70%,1053,0,35.11,1
14,V200228C00197500,2020-02-26 12:43PM EST,197.5,0.18,0.18,0.2,-0.34,-65.38%,703,1158,33.89,1
15,V200228C00200000,2020-02-26 2:12PM EST,200.0,0.09,0.07,0.1,-0.17,-65.38%,4567,1579,35.65,1
16,V200228C00202500,2020-02-26 12:37PM EST,202.5,0.06,0.04,0.05,-0.04,-40.00%,399,0,37.31,1
17,V200228C00205000,2020-02-26 1:46PM EST,205.0,0.02,0.03,0.03,-0.06,-75.00%,419,1198,39.84,1
18,V200228C00207500,2020-02-26 11:20AM EST,207.5,0.03,0.01,0.04,-0.04,-57.14%,176,0,46.88,1
19,V200228C00210000,2020-02-26 2:01PM EST,210.0,0.02,0.01,0.02,-0.01,-33.33%,67,2797,47.66,1
20,V200228C00212500,2020-02-26 1:23PM EST,212.5,0.01,0.01,0.01,0.0,-,155,0,48.44,1
21,V200228C00215000,2020-02-26 1:13PM EST,215.0,0.01,0.0,0.0,-0.01,-50.00%,21,2632,25.0,1
22,V200228C00217500,2020-02-26 9:39AM EST,217.5,0.01,0.0,0.02,0.0,-,10,1464,56.25,1
23,V200228C00220000,2020-02-26 10:43AM EST,220.0,0.01,0.0,0.01,0.0,-,42,1080,56.25,1
24,V200228C00222500,2020-02-24 2:44PM EST,222.5,0.05,0.0,0.01,0.0,-,2,0,60.94,1
25,V200228C00225000,2020-02-26 10:43AM EST,225.0,0.01,0.0,0.04,-0.04,-80.00%,8,621,74.22,1
26,V200228C00227500,2020-02-24 11:43AM EST,227.5,0.01,0.0,0.03,0.0,-,12,51,75.78,1
27,V200228C00230000,2020-02-20 12:04PM EST,230.0,0.09,0.0,0.04,0.0,-,12,127,82.03,1
28,V200228C00232500,2020-02-26 10:43AM EST,232.5,0.01,0.0,0.12,-0.08,-88.89%,3,5,97.66,1
29,V200228C00235000,2020-02-21 3:55PM EST,235.0,0.05,0.0,0.04,0.0,-,18,0,89.84,1
30,V200228C00237500,2020-01-31 9:44AM EST,237.5,0.24,0.0,0.14,0.0,-,-,1,108.2,1
31,V200228C00242500,2020-02-21 1:42PM EST,242.5,0.01,0.0,0.01,0.0,-,1,94,90.63,1
32,V200228C00245000,2020-02-24 10:28AM EST,245.0,0.02,0.0,0.1,0.0,-,2,0,116.02,1
33,V200228C00250000,2020-02-21 2:36PM EST,250.0,0.02,0.0,0.11,0.0,-,20,30,125.0,1
0,V200306C00165000,2020-02-24 2:42PM EST,165.0,35.2,23.30,24.65,0.0,-,1,2,64.45,8
1,V200306C00172500,2020-02-19 10:14AM EST,172.5,41.25,17.00,17.35,0.0,-,-,1,51.22,8
2,V200306C00175000,2020-02-21 1:01PM EST,175.0,34.35,14.50,14.5,0.0,-,-,2,40.33,8
3,V200306C00180000,2020-02-26 12:43PM EST,180.0,10.75,10.20,10.4,-0.24,-2.18%,10,40,39.82,8
4,V200306C00182500,2020-02-25 3:39PM EST,182.5,8.3,8.30,8.4,-0.2,-2.35%,12,36,37.92,8
5,V200306C00185000,2020-02-26 1:52PM EST,185.0,6.75,6.55,6.7,0.0,-,18,156,37.33,8
6,V200306C00187500,2020-02-26 12:47PM EST,187.5,6.1,5.00,5.2,0.21,+3.57%,18,0,36.77,8
7,V200306C00190000,2020-02-26 2:16PM EST,190.0,3.7,3.55,3.7,-0.65,-14.94%,360,336,34.49,8
8,V200306C00192500,2020-02-26 2:17PM EST,192.5,2.5,2.43,2.55,-0.65,-20.63%,215,173,33.15,8
9,V200306C00195000,2020-02-26 1:56PM EST,195.0,1.62,1.64,1.76,-0.59,-26.70%,185,176,32.94,8
10,V200306C00197500,2020-02-26 1:18PM EST,197.5,1.02,1.06,1.14,-0.35,-25.55%,184,0,32.37,8
11,V200306C00200000,2020-02-26 2:11PM EST,200.0,0.62,0.58,0.67,-0.34,-35.42%,735,0,31.42,8
12,V200306C00202500,2020-02-26 1:50PM EST,202.5,0.37,0.35,0.4,-0.19,-33.93%,670,363,31.2,8
13,V200306C00205000,2020-02-26 2:08PM EST,205.0,0.19,0.21,0.27,-0.18,-48.65%,62,0,32.13,8
14,V200306C00207500,2020-02-26 10:37AM EST,207.5,0.25,0.08,0.24,-0.01,-3.85%,45,0,34.91,8
15,V200306C00210000,2020-02-26 12:59PM EST,210.0,0.11,0.05,0.12,-0.04,-26.67%,351,1167,33.79,8
16,V200306C00212500,2020-02-26 12:18PM EST,212.5,0.05,0.03,0.07,-0.05,-50.00%,48,1114,33.99,8
17,V200306C00215000,2020-02-26 12:33PM EST,215.0,0.03,0.03,0.06,-0.04,-57.14%,90,0,35.94,8
18,V200306C00217500,2020-02-26 1:26PM EST,217.5,0.05,0.04,0.05,0.04,+400.00%,605,1585,37.7,8
19,V200306C00220000,2020-02-26 1:57PM EST,220.0,0.02,0.00,0.05,-0.01,-33.33%,20,741,40.23,8
20,V200306C00222500,2020-02-25 1:56PM EST,222.5,0.03,0.00,0.04,0.0,-,40,568,41.8,8
21,V200306C00225000,2020-02-25 9:46AM EST,225.0,0.04,0.00,0.05,0.0,-,4,133,45.31,8
22,V200306C00227500,2020-02-24 2:00PM EST,227.5,0.02,0.00,0.13,0.0,-,7,0,54.49,8
23,V200306C00230000,2020-02-26 12:49PM EST,230.0,0.01,0.00,0.08,-0.18,-94.74%,1,7,53.32,8
24,V200306C00232500,2020-02-19 9:48AM EST,232.5,0.15,0.00,0.05,0.0,-,16,19,52.54,8
25,V200306C00235000,2020-02-24 9:47AM EST,235.0,0.3,0.00,0.04,0.0,-,10,18,53.52,8
26,V200306C00240000,2020-02-19 3:31PM EST,240.0,0.07,0.00,0.02,0.0,-,12,15,50.0,8
27,V200306C00242500,2020-02-18 2:43PM EST,242.5,0.09,0.00,0.05,0.0,-,1,4,57.03,8
28,V200306C00245000,2020-02-24 11:04AM EST,245.0,0.01,0.00,0.03,0.0,-,-,3,56.25,8
29,V200306C00250000,2020-02-24 2:00PM EST,250.0,0.02,-,0.04,0.0,-,-,-,66.41,8
0,V200313C00175000,2020-02-07 12:33PM EST,175.0,28.0,14.95,15.6,0.0,-,1,1,42.14,15
1,V200313C00180000,2020-02-24 2:20PM EST,180.0,20.4,11.2,11.45,0.0,-,9,0,38.65,15
2,V200313C00182500,2020-02-24 2:20PM EST,182.5,13.37,9.0,9.25,0.0,-,1,0,35.07,15
3,V200313C00185000,2020-02-26 12:58PM EST,185.0,8.45,7.3,7.6,-3.2,-27.47%,149,0,34.47,15
4,V200313C00187500,2020-02-26 11:54AM EST,187.5,7.85,5.7,6.0,0.35,+4.67%,12,0,33.17,15
5,V200313C00190000,2020-02-26 12:16PM EST,190.0,4.04,4.4,4.7,-0.72,-15.13%,254,0,32.62,15
6,V200313C00192500,2020-02-26 1:32PM EST,192.5,3.5,3.2,3.55,-0.15,-4.11%,276,48,31.85,15
7,V200313C00195000,2020-02-26 2:11PM EST,195.0,2.43,2.35,2.44,-0.42,-14.74%,44,87,30.04,15
8,V200313C00197500,2020-02-26 1:45PM EST,197.5,1.53,1.58,1.73,-0.37,-19.47%,19,0,29.64,15
9,V200313C00200000,2020-02-26 2:16PM EST,200.0,1.13,1.04,1.25,-0.23,-16.91%,121,144,29.82,15
10,V200313C00202500,2020-02-26 9:59AM EST,202.5,0.82,0.71,0.74,-0.13,-13.68%,21,0,28.37,15
11,V200313C00205000,2020-02-26 11:31AM EST,205.0,0.5,0.42,0.59,-0.11,-18.03%,190,0,29.79,15
12,V200313C00207500,2020-02-26 12:27PM EST,207.5,0.34,0.27,0.37,0.02,+6.25%,13,339,29.37,15
13,V200313C00210000,2020-02-26 1:25PM EST,210.0,0.24,0.16,0.23,-0.02,-7.69%,14,0,29.15,15
14,V200313C00212500,2020-02-26 1:56PM EST,212.5,0.2,0.09,0.22,0.05,+33.33%,62,369,31.45,15
15,V200313C00215000,2020-02-26 1:29PM EST,215.0,0.09,0.05,0.2,0.0,-,127,626,33.3,15
16,V200313C00217500,2020-02-26 12:04PM EST,217.5,0.08,0.05,0.1,-0.02,-20.00%,11,0,31.93,15
17,V200313C00220000,2020-02-26 2:04PM EST,220.0,0.04,0.02,0.1,-0.06,-60.00%,83,1025,34.08,15
18,V200313C00222500,2020-02-25 11:48AM EST,222.5,0.09,0.0,0.09,-0.03,-25.00%,10,450,35.55,15
19,V200313C00225000,2020-02-25 2:10PM EST,225.0,0.05,0.01,0.11,0.0,-,3,105,38.67,15
20,V200313C00227500,2020-02-24 3:19PM EST,227.5,0.06,0.01,0.13,-0.01,-14.29%,1,0,41.8,15
21,V200313C00230000,2020-02-20 3:19PM EST,230.0,0.01,0.0,0.09,0.0,-,1,0,41.6,15
22,V200313C00232500,2020-02-24 10:21AM EST,232.5,0.13,0.0,0.07,0.0,-,2,8,42.09,15
23,V200313C00235000,2020-02-19 12:42PM EST,235.0,0.2,0.0,0.08,0.0,-,4,8,44.73,15
24,V200313C00240000,2020-02-24 9:45AM EST,240.0,0.1,0.0,0.09,0.0,-,5,0,49.02,15
1,V200320C00105000,2020-02-13 11:46AM EST,105.0,103.3,82.5,85.2,0.0,-,1,0,103.71,22
2,V200320C00110000,2020-02-12 3:00PM EST,110.0,97.5,77.5,80.05,0.0,-,60,200,89.65,22
3,V200320C00115000,2020-01-28 12:48PM EST,115.0,88.11,72.2,75.05,0.0,-,2,14,128.05,22
4,V200320C00125000,2020-01-16 3:59PM EST,125.0,76.33,84.4,86.55,0.0,-,2,3,304.14,22
5,V200320C00130000,2020-02-11 1:54PM EST,130.0,75.59,57.7,59.65,0.0,-,2,7,93.75,22
6,V200320C00135000,2020-02-11 1:54PM EST,135.0,71.6,52.9,54.75,0.0,-,1,0,61.62,22
7,V200320C00140000,2020-02-25 3:36PM EST,140.0,48.45,47.35,49.85,0.0,-,25,26,81.69,22
8,V200320C00145000,2020-02-12 11:44AM EST,145.0,62.54,42.5,44.95,0.0,-,132,70,75.51,22
9,V200320C00150000,2020-02-25 3:36PM EST,150.0,43.05,38.75,39.65,4.52,+11.73%,19,0,55.27,22
10,V200320C00155000,2020-02-26 11:25AM EST,155.0,38.7,33.8,34.4,5.9,+17.99%,7,0,52.37,22
11,V200320C00160000,2020-02-24 9:40AM EST,160.0,29.28,29.15,29.35,-13.32,-31.27%,20,209,44.82,22
12,V200320C00165000,2020-02-26 9:30AM EST,165.0,26.8,24.4,25.2,-7.73,-22.39%,1,236,48.08,22
13,V200320C00170000,2020-02-26 1:22PM EST,170.0,21.0,19.75,20.3,1.1,+5.53%,4,358,41.31,22
14,V200320C00175000,2020-02-26 2:11PM EST,175.0,15.43,15.8,15.5,-1.26,-7.55%,43,749,34.99,22
15,V200320C00180000,2020-02-26 12:57PM EST,180.0,12.75,11.4,11.65,0.61,+5.02%,95,0,33.96,22
16,V200320C00185000,2020-02-26 2:12PM EST,185.0,8.16,7.9,8.1,-0.33,-3.89%,442,2952,31.87,22
17,V200320C00187500,2020-02-26 2:16PM EST,187.5,6.6,6.4,6.6,-0.6,-8.33%,278,20,31.18,22
18,V200320C00190000,2020-02-26 2:15PM EST,190.0,5.25,5.0,5.25,-0.51,-8.85%,695,0,30.42,22
19,V200320C00192500,2020-02-26 2:14PM EST,192.5,4.09,3.85,4.15,-0.21,-4.88%,422,159,30.1,22
20,V200320C00195000,2020-02-26 2:14PM EST,195.0,3.06,2.88,3.05,-0.24,-7.27%,508,9303,28.86,22
21,V200320C00197500,2020-02-26 2:12PM EST,197.5,2.1,2.12,2.22,-0.42,-16.67%,285,17,28.13,22
22,V200320C00200000,2020-02-26 2:12PM EST,200.0,1.59,1.49,1.57,-0.2,-11.17%,833,4299,27.5,22
23,V200320C00202500,2020-02-26 2:16PM EST,202.5,1.09,1.05,1.13,-0.12,-9.92%,172,436,27.41,22
24,V200320C00205000,2020-02-26 2:13PM EST,205.0,0.79,0.7,0.78,-0.09,-10.23%,840,10825,27.15,22
25,V200320C00207500,2020-02-26 1:17PM EST,207.5,0.42,0.49,0.53,-0.17,-28.81%,157,851,26.98,22
26,V200320C00210000,2020-02-26 1:58PM EST,210.0,0.32,0.32,0.39,-0.08,-20.00%,603,7018,27.44,22
27,V200320C00212500,2020-02-26 1:46PM EST,212.5,0.16,0.21,0.29,-0.12,-42.86%,219,98,27.98,22
28,V200320C00215000,2020-02-26 2:11PM EST,215.0,0.17,0.15,0.22,-0.07,-29.17%,236,6538,28.57,22
29,V200320C00217500,2020-02-25 3:33PM EST,217.5,0.13,0.13,0.21,0.0,-,-,-,30.37,22
30,V200320C00220000,2020-02-26 2:07PM EST,220.0,0.1,0.08,0.1,0.0,-,665,0,28.71,22
31,V200320C00222500,2020-02-26 11:42AM EST,222.5,0.11,0.03,0.13,0.05,+83.33%,10,123,31.64,22
32,V200320C00225000,2020-02-26 1:54PM EST,225.0,0.04,0.04,0.07,-0.07,-63.64%,73,0,30.66,22
33,V200320C00227500,2020-02-26 10:09AM EST,227.5,0.11,0.0,0.14,-0.35,-76.09%,3,3,35.6,22
34,V200320C00230000,2020-02-26 12:29PM EST,230.0,0.03,0.01,0.05,-0.01,-25.00%,13,2408,32.42,22
35,V200320C00235000,2020-02-26 11:41AM EST,235.0,0.01,0.0,0.09,-0.02,-66.67%,10,0,38.28,22
36,V200320C00240000,2020-02-26 12:28PM EST,240.0,0.03,0.0,0.05,-0.05,-62.50%,6,0,38.48,22
37,V200320C00245000,2020-02-20 3:57PM EST,245.0,0.01,0.0,0.04,0.0,-,6,0,40.23,22
38,V200320C00250000,2020-02-25 12:14PM EST,250.0,0.02,0.0,0.04,-0.02,-50.00%,24,0,42.97,22
39,V200320C00255000,2020-02-19 3:55PM EST,255.0,0.06,0.0,0.06,0.0,-,18,37,47.66,22
40,V200320C00260000,2020-02-21 11:36AM EST,260.0,0.07,0.0,0.04,0.0,-,1,223,48.05,22
41,V200320C00265000,2020-02-13 11:15AM EST,265.0,0.01,0.0,0.06,0.0,-,2,7,52.93,22
42,V200320C00270000,2020-02-21 1:44PM EST,270.0,0.02,0.0,0.04,0.0,-,89,0,53.13,22
0,V200327C00172500,2020-02-18 12:12AM EST,172.5,38.2,17.85,18.8,0.0,-,-,1,39.28,29
1,V200327C00175000,2020-02-19 11:50AM EST,175.0,39.32,15.6,16.6,0.0,-,-,1,37.31,29
2,V200327C00177500,2020-02-10 1:28PM EST,177.5,28.72,13.7,14.35,0.0,-,-,60,34.75,29
3,V200327C00180000,2020-02-21 10:56AM EST,180.0,29.53,11.85,13.05,0.0,-,2,2,36.92,29
4,V200327C00182500,2020-02-21 9:30AM EST,182.5,28.15,10.1,10.85,0.0,-,1,51,33.83,29
5,V200327C00185000,2020-02-18 12:12AM EST,185.0,9.45,8.35,9.0,0.0,-,3,0,32.04,29
6,V200327C00187500,2020-02-26 12:29PM EST,187.5,8.15,7.15,7.4,0.58,+7.66%,13,6,30.87,29
7,V200327C00190000,2020-02-26 2:09PM EST,190.0,5.8,5.75,6.2,-0.35,-5.69%,48,0,30.9,29
