,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,WAT200320C00195000,2020-02-04 12:11PM EST,195.0,25.0,11.20,12.4,0.0,-,-,1,34.18,22
1,WAT200320C00210000,2020-02-25 2:26PM EST,210.0,4.9,3.80,4.0,2.01,+69.55%,4,57,30.97,22
2,WAT200320C00220000,2020-02-24 1:24PM EST,220.0,1.9,1.40,1.6,-0.46,-19.49%,15,0,31.38,22
3,WAT200320C00230000,2020-02-24 1:36PM EST,230.0,0.53,0.35,0.6,0.0,-,1,0,32.4,22
4,WAT200320C00240000,2020-02-26 12:04PM EST,240.0,0.7,0.10,0.25,0.36,+105.88%,4,536,34.38,22
5,WAT200320C00250000,2020-02-06 1:08PM EST,250.0,0.35,0.00,0.15,0.0,-,1,0,38.09,22
6,WAT200320C00260000,2020-02-10 10:23AM EST,260.0,0.23,-,0.15,0.0,-,-,2,44.14,22
7,WAT200320C00270000,2020-02-03 2:53PM EST,270.0,0.25,0.00,1.35,0.0,-,-,0,63.72,22
8,WAT200320C00300000,2020-01-21 11:53AM EST,300.0,0.2,0.00,0.0,0.0,-,-,0,25.0,22
0,WAT200515C00130000,2020-01-15 3:02PM EST,130.0,105.6,84.1,88.3,0.0,-,10,30,126.81,78
1,WAT200515C00175000,2020-02-04 12:28PM EST,175.0,44.1,31.6,32.8,0.0,-,-,1,38.67,78
2,WAT200515C00180000,2020-01-08 3:58PM EST,180.0,51.2,38.4,41.9,0.0,-,1,1,74.12,78
4,WAT200515C00200000,2020-01-13 12:02AM EST,200.0,32.07,21.8,22.6,0.0,-,-,1,53.46,78
5,WAT200515C00210000,2020-02-25 12:41PM EST,210.0,9.5,8.8,9.3,0.4,+4.40%,3,0,31.19,78
6,WAT200515C00220000,2020-02-26 1:49PM EST,220.0,5.8,5.4,5.8,0.9,+18.37%,6,16,30.73,78
7,WAT200515C00230000,2020-02-20 1:39PM EST,230.0,5.7,3.1,3.4,0.0,-,8,30,30.27,78
8,WAT200515C00240000,2020-02-14 3:05PM EST,240.0,3.1,1.7,1.95,0.0,-,11,102,30.21,78
9,WAT200515C00250000,2020-02-12 11:55AM EST,250.0,2.9,0.85,1.1,0.0,-,21,47,30.36,78
10,WAT200515C00260000,2020-01-13 11:56AM EST,260.0,3.7,0.7,0.95,0.0,-,6,0,33.5,78
11,WAT200515C00270000,2020-01-22 2:58PM EST,270.0,4.68,0.45,0.65,0.0,-,1,0,34.64,78
12,WAT200515C00290000,2019-12-09 12:06AM EST,290.0,1.45,0.6,0.85,0.0,-,-,1,43.53,78
0,WAT200821C00155000,2020-02-05 9:36AM EST,155.0,69.5,50.8,53.5,0.0,-,-,2,40.73,176
1,WAT200821C00190000,2020-02-04 10:47AM EST,190.0,38.6,24.0,24.8,0.0,-,-,0,30.79,176
2,WAT200821C00200000,2020-02-26 1:19PM EST,200.0,19.3,17.8,18.8,-8.2,-29.82%,3,0,29.73,176
3,WAT200821C00210000,2020-02-19 3:32PM EST,210.0,14.2,13.0,13.8,-1.9,-11.80%,2,0,28.85,176
4,WAT200821C00220000,2020-02-21 2:50PM EST,220.0,14.9,9.4,10.0,0.0,-,8,0,28.48,176
5,WAT200821C00240000,2020-02-26 12:04PM EST,240.0,5.03,4.4,4.8,-3.27,-39.40%,4,5,27.73,176
6,WAT200821C00260000,2019-12-31 10:50AM EST,260.0,10.58,6.1,6.9,0.0,-,-,0,40.2,176
7,WAT200821C00340000,2020-01-27 3:56PM EST,340.0,1.0,0.0,2.25,0.0,-,-,3,47.21,176
0,WAT201218C00250000,2020-02-21 3:29PM EST,250.0,9.0,5.9,6.5,0.0,-,20,0,27.53,295
