,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,WBA200228P00045000,2020-02-25 2:44PM EST,45.0,0.13,0.0,0.27,0.0,-,33,117,57.42,1
1,WBA200228P00046000,2020-02-26 1:33PM EST,46.0,0.06,0.06,0.19,-0.19,-76.00%,2,76,47.85,1
2,WBA200228P00047000,2020-02-26 1:01PM EST,47.0,0.12,0.31,0.41,-0.38,-76.00%,10,16,45.61,1
3,WBA200228P00048000,2020-02-26 9:39AM EST,48.0,0.52,0.69,0.79,-0.41,-44.09%,72,574,42.87,1
4,WBA200228P00049000,2020-02-26 11:44AM EST,49.0,0.8,1.29,1.5,-0.36,-31.03%,16,164,48.24,1
5,WBA200228P00049500,2020-02-26 11:41AM EST,49.5,1.0,1.68,2.08,-1.3,-56.52%,11,236,62.89,1
6,WBA200228P00050000,2020-02-26 1:31PM EST,50.0,1.77,2.04,2.39,-0.83,-31.92%,54,331,57.81,1
7,WBA200228P00050500,2020-02-25 2:53PM EST,50.5,2.2,2.34,2.84,-0.92,-29.49%,1,0,61.13,1
8,WBA200228P00051000,2020-02-25 11:51AM EST,51.0,3.05,2.96,3.3,-0.45,-12.86%,2,0,64.45,1
9,WBA200228P00051500,2020-02-26 2:05PM EST,51.5,3.75,3.65,3.8,-0.42,-10.07%,230,665,62.5,1
10,WBA200228P00052000,2020-02-26 2:07PM EST,52.0,4.13,4.15,4.25,-0.48,-10.41%,30,288,64.84,1
11,WBA200228P00052500,2020-02-26 12:34PM EST,52.5,4.6,4.6,4.85,-1.05,-18.58%,6,0,74.22,1
12,WBA200228P00053000,2020-02-24 3:46PM EST,53.0,4.42,4.8,5.45,-1.03,-18.90%,10,0,60.16,1
13,WBA200228P00053500,2020-02-25 10:51AM EST,53.5,5.02,5.15,6.3,-0.08,-1.57%,10,78,85.16,1
14,WBA200228P00054000,2020-02-26 1:37PM EST,54.0,6.0,5.7,7.4,0.5,+9.09%,6,60,127.73,1
15,WBA200228P00054500,2020-02-26 9:52AM EST,54.5,5.15,5.3,7.9,2.22,+75.77%,1,5,60.94,1
16,WBA200228P00055000,2020-02-26 11:30AM EST,55.0,6.2,6.8,7.5,-0.6,-8.82%,40,63,85.55,1
17,WBA200228P00055500,2020-02-20 9:37AM EST,55.5,6.6,6.85,9.15,0.0,-,7,12,141.21,1
18,WBA200228P00056000,2020-02-24 10:15AM EST,56.0,6.03,6.5,9.4,0.0,-,1,29,222.36,1
19,WBA200228P00056500,2020-02-26 10:31AM EST,56.5,8.03,7.6,10.05,2.93,+57.45%,1,46,131.45,1
20,WBA200228P00057000,2020-02-19 2:56PM EST,57.0,5.53,7.55,10.7,0.0,-,4,17,94.53,1
21,WBA200228P00057500,2020-02-07 3:29PM EST,57.5,4.61,8.2,11.2,0.0,-,1,0,119.92,1
22,WBA200228P00058000,2020-02-12 1:47PM EST,58.0,5.08,9.75,11.9,0.0,-,1,0,201.76,1
24,WBA200228P00060000,2020-02-24 9:53AM EST,60.0,9.86,10.3,13.6,0.0,-,1,2,288.87,1
0,WBA200306P00045000,2020-02-25 11:16AM EST,45.0,0.14,0.22,0.35,0.0,-,11,19,43.26,8
1,WBA200306P00046000,2020-02-25 2:25PM EST,46.0,0.2,0.41,0.56,-0.48,-70.59%,2,3,41.9,8
2,WBA200306P00047000,2020-02-26 1:06PM EST,47.0,0.5,0.69,0.83,-0.36,-41.86%,1,12,39.31,8
3,WBA200306P00047500,2020-02-26 1:20PM EST,47.5,0.75,0.89,1.04,-0.49,-39.52%,4,11,39.16,8
4,WBA200306P00048000,2020-02-25 1:08PM EST,48.0,0.87,1.12,1.28,-0.4,-31.50%,20,0,38.97,8
5,WBA200306P00048500,2020-02-26 12:39PM EST,48.5,1.36,1.33,1.61,-0.34,-20.00%,35,30,40.63,8
6,WBA200306P00049000,2020-02-26 1:17PM EST,49.0,1.39,1.69,1.86,-0.64,-31.53%,27,32,38.77,8
7,WBA200306P00049500,2020-02-25 2:32PM EST,49.5,2.35,2.01,2.26,0.0,-,44,50,40.92,8
8,WBA200306P00050000,2020-02-25 2:22PM EST,50.0,1.83,2.33,2.68,-0.92,-33.45%,3,0,43.07,8
9,WBA200306P00050500,2020-02-26 11:05AM EST,50.5,2.35,2.76,3.1,0.99,+72.79%,1,40,44.73,8
10,WBA200306P00051000,2020-02-25 3:37PM EST,51.0,3.7,3.15,3.55,0.0,-,12,0,47.07,8
11,WBA200306P00051500,2020-02-25 3:01PM EST,51.5,3.15,3.7,3.9,-0.9,-22.22%,10,57,44.24,8
12,WBA200306P00052000,2020-02-25 3:26PM EST,52.0,4.1,3.95,4.4,-0.62,-13.14%,1,185,47.95,8
