,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,WDC200228C00050000,2020-02-21 3:38PM EST,50.0,16.7,9.2,10.1,0.0,-,5,0,115.23,1
1,WDC200228C00055000,2020-02-25 6:55PM EST,55.0,5.5,5.95,6.35,0.0,-,-,-,164.94,1
2,WDC200228C00059000,2020-02-26 1:41PM EST,59.0,1.55,1.55,1.58,-0.33,-17.55%,35,0,59.67,1
3,WDC200228C00060000,2020-02-26 1:33PM EST,60.0,1.22,1.02,1.06,-0.27,-18.12%,121,0,58.2,1
4,WDC200228C00060500,2020-02-26 1:50PM EST,60.5,0.93,0.8,0.83,-0.23,-19.83%,170,0,57.03,1
5,WDC200228C00061000,2020-02-26 10:39AM EST,61.0,1.27,1.28,1.32,0.3,+30.93%,89,-,89.26,1
6,WDC200228C00061500,2020-02-26 2:14PM EST,61.5,0.59,0.48,0.51,-0.24,-28.92%,87,0,56.45,1
7,WDC200228C00062000,2020-02-26 1:15PM EST,62.0,0.44,0.37,0.4,-0.2,-31.25%,63,0,56.84,1
8,WDC200228C00062500,2020-02-26 1:41PM EST,62.5,0.26,0.26,0.28,-0.28,-51.85%,100,0,55.27,1
9,WDC200228C00063000,2020-02-26 11:38AM EST,63.0,0.18,0.18,0.19,-0.2,-52.63%,132,0,54.1,1
10,WDC200228C00063500,2020-02-25 3:34PM EST,63.5,0.33,0.13,0.15,0.03,+10.00%,30,0,54.88,1
11,WDC200228C00064000,2020-02-26 1:37PM EST,64.0,0.1,0.09,0.13,-0.11,-52.38%,47,0,56.06,1
12,WDC200228C00064500,2020-02-26 12:51PM EST,64.5,0.09,0.06,0.07,-0.07,-43.75%,33,0,53.91,1
13,WDC200228C00065000,2020-02-25 1:33PM EST,65.0,0.17,0.03,0.05,0.06,+54.55%,14,0,53.13,1
14,WDC200228C00065500,2020-02-26 11:19AM EST,65.5,0.08,0.0,0.04,0.0,-,9,0,50.78,1
15,WDC200228C00066000,2020-02-25 3:58PM EST,66.0,0.07,0.0,0.03,0.0,-,14,0,51.56,1
16,WDC200228C00066500,2020-02-26 9:38AM EST,66.5,0.07,0.0,0.03,0.03,+75.00%,11,0,55.47,1
17,WDC200228C00067000,2020-02-24 3:58PM EST,67.0,0.04,0.0,0.03,0.0,-,23,0,58.59,1
18,WDC200228C00067500,2020-02-25 12:37PM EST,67.5,0.04,0.02,0.03,0.0,-,14,124,66.41,1
19,WDC200228C00068000,2020-02-26 11:19AM EST,68.0,0.01,0.01,0.03,-0.02,-66.67%,37,0,67.19,1
20,WDC200228C00068500,2020-02-26 12:06PM EST,68.5,0.01,0.0,0.03,-0.09,-90.00%,1,0,67.19,1
21,WDC200228C00069000,2020-02-25 3:55PM EST,69.0,0.1,0.0,0.03,0.08,+400.00%,1,0,70.31,1
22,WDC200228C00069500,2020-02-25 2:41PM EST,69.5,0.04,0.0,0.03,0.02,+100.00%,3,0,73.44,1
23,WDC200228C00070000,2020-02-26 12:06PM EST,70.0,0.03,0.0,0.03,0.02,+200.00%,4,0,76.56,1
24,WDC200228C00070500,2020-02-25 3:54PM EST,70.5,0.02,0.0,0.07,0.0,-,202,0,89.06,1
25,WDC200228C00071000,2020-02-26 12:06PM EST,71.0,0.01,0.0,0.05,0.0,-,2,0,88.28,1
26,WDC200228C00071500,2020-02-24 3:33PM EST,71.5,0.01,0.0,0.01,-0.01,-50.00%,1,0,75.0,1
27,WDC200228C00072000,2020-02-24 2:47PM EST,72.0,0.03,0.0,0.01,0.0,-,34,0,78.13,1
28,WDC200228C00072500,2020-02-24 3:21PM EST,72.5,0.01,0.0,0.02,0.0,-,2,0,87.5,1
29,WDC200228C00073000,2020-02-20 12:23PM EST,73.0,0.04,0.0,0.02,0.0,-,100,0,89.06,1
30,WDC200228C00073500,2020-02-26 9:39AM EST,73.5,0.22,0.0,0.18,0.12,+120.00%,1,0,124.61,1
31,WDC200228C00074000,2020-02-25 1:47PM EST,74.0,0.02,0.0,0.24,0.0,-,7,0,134.38,1
32,WDC200228C00074500,2020-02-24 1:11PM EST,74.5,0.03,0.0,0.2,0.0,-,9,0,133.2,1
33,WDC200228C00075000,2020-02-24 9:44AM EST,75.0,0.03,0.0,0.16,0.0,-,400,0,131.25,1
34,WDC200228C00076000,2020-02-20 12:24PM EST,76.0,0.06,0.0,0.21,0.0,-,1,0,144.14,1
35,WDC200228C00077000,2020-02-25 1:47PM EST,77.0,0.01,0.0,0.03,0.0,-,7,0,114.06,1
36,WDC200228C00077500,2020-02-13 12:56PM EST,77.5,0.21,0.0,0.08,0.0,-,-,2,132.03,1
37,WDC200228C00078000,2020-02-19 12:00PM EST,78.0,0.08,0.0,0.2,0.0,-,-,0,155.08,1
38,WDC200228C00080000,2020-02-06 3:34PM EST,80.0,0.13,0.0,0.11,0.0,-,1,0,152.34,1
39,WDC200228C00085000,2020-01-29 3:22PM EST,85.0,0.11,0.0,0.2,-0.08,-42.11%,1,0,194.53,1
40,WDC200228C00090000,2020-01-24 9:54AM EST,90.0,0.18,0.0,0.0,0.0,-,-,0,50.0,1
0,WDC200306C00045000,2020-01-31 3:15PM EST,45.0,20.73,14.35,15.0,0.0,-,3,0,91.02,8
1,WDC200306C00055000,2020-02-25 12:21PM EST,55.0,6.2,5.25,5.35,0.0,-,42,0,61.57,8
2,WDC200306C00056000,2020-02-25 3:49PM EST,56.0,4.6,4.45,4.5,-0.15,-3.16%,2,75,58.89,8
3,WDC200306C00057000,2020-02-26 12:41PM EST,57.0,4.5,3.7,3.75,0.5,+12.50%,87,0,57.13,8
4,WDC200306C00058000,2020-02-25 3:51PM EST,58.0,3.7,4.0,4.1,0.3,+8.82%,1,-,82.42,8
5,WDC200306C00059000,2020-02-25 3:57PM EST,59.0,2.73,3.4,3.5,0.0,-,-,-,80.57,8
6,WDC200306C00060000,2020-02-26 10:58AM EST,60.0,2.0,1.99,2.01,-0.21,-9.50%,29,0,55.81,8
7,WDC200306C00060500,2020-02-26 12:26PM EST,60.5,2.06,1.79,1.74,0.19,+10.16%,51,0,55.37,8
8,WDC200306C00061000,2020-02-26 1:37PM EST,61.0,1.49,1.51,1.52,-0.36,-19.46%,110,0,54.05,8
9,WDC200306C00061500,2020-02-26 9:59AM EST,61.5,1.9,1.86,1.9,0.44,+30.14%,4,-,68.41,8
10,WDC200306C00062000,2020-02-26 1:17PM EST,62.0,1.35,1.12,1.15,-0.15,-10.00%,74,0,53.08,8
11,WDC200306C00062500,2020-02-25 3:51PM EST,62.5,1.08,0.97,1.01,-0.1,-8.47%,26,0,53.13,8
12,WDC200306C00063000,2020-02-26 12:36PM EST,63.0,1.11,0.84,0.84,0.07,+6.73%,75,21,52.59,8
13,WDC200306C00063500,2020-02-26 1:47PM EST,63.5,0.76,0.69,0.72,-0.1,-11.63%,54,0,51.95,8
14,WDC200306C00064000,2020-02-26 12:18PM EST,64.0,0.75,0.6,0.64,-0.09,-10.71%,60,0,52.54,8
15,WDC200306C00064500,2020-02-26 1:31PM EST,64.5,0.59,0.49,0.53,-0.13,-18.06%,27,0,51.86,8
16,WDC200306C00065000,2020-02-26 11:23AM EST,65.0,0.56,0.4,0.44,0.0,-,22,0,51.37,8
17,WDC200306C00065500,2020-02-26 12:13PM EST,65.5,0.44,0.33,0.35,-0.01,-2.22%,42,0,50.68,8
18,WDC200306C00066000,2020-02-26 12:31PM EST,66.0,0.29,0.28,0.3,-0.59,-67.05%,50,55,51.07,8
19,WDC200306C00066500,2020-02-25 11:34AM EST,66.5,0.37,0.25,0.28,-0.14,-27.45%,25,0,52.34,8
20,WDC200306C00067000,2020-02-25 3:38PM EST,67.0,0.4,0.2,0.22,0.14,+53.85%,9,0,51.66,8
21,WDC200306C00067500,2020-02-26 11:02AM EST,67.5,0.25,0.15,0.16,0.02,+8.70%,3,0,50.29,8
22,WDC200306C00068000,2020-02-26 10:12AM EST,68.0,0.17,0.11,0.14,-0.03,-15.00%,4,0,50.2,8
23,WDC200306C00068500,2020-02-24 2:33PM EST,68.5,0.16,0.09,0.11,-0.44,-73.33%,20,0,50.0,8
24,WDC200306C00069000,2020-02-26 10:34AM EST,69.0,0.14,0.07,0.09,-0.07,-33.33%,2,0,50.0,8
25,WDC200306C00069500,2020-02-26 10:38AM EST,69.5,0.11,0.06,0.08,-0.01,-8.33%,51,0,50.59,8
26,WDC200306C00070000,2020-02-26 10:18AM EST,70.0,0.11,0.05,0.07,0.01,+10.00%,203,0,51.17,8
27,WDC200306C00070500,2020-02-25 1:58PM EST,70.5,0.07,0.02,0.08,0.0,-,21,0,51.56,8
28,WDC200306C00071000,2020-02-26 1:47PM EST,71.0,0.05,0.02,0.06,-0.05,-50.00%,6,0,51.56,8
29,WDC200306C00071500,2020-02-20 3:21PM EST,71.5,0.09,0.0,0.05,0.0,-,10,0,55.08,8
30,WDC200306C00072000,2020-02-26 11:58AM EST,72.0,0.05,0.01,0.04,0.02,+66.67%,8,0,51.56,8
31,WDC200306C00072500,2020-02-21 12:02PM EST,72.5,0.45,0.01,0.04,0.0,-,2,0,53.13,8
32,WDC200306C00073000,2020-02-26 10:17AM EST,73.0,0.05,0.0,0.04,-0.09,-64.29%,2,0,53.13,8
33,WDC200306C00073500,2020-02-19 11:47AM EST,73.5,0.9,0.0,0.1,0.0,-,6,0,61.72,8
34,WDC200306C00074000,2020-02-20 2:30PM EST,74.0,0.52,0.0,0.07,0.0,-,1,0,60.16,8
35,WDC200306C00074500,2020-02-24 11:17AM EST,74.5,0.11,0.0,0.03,0.0,-,49,0,55.47,8
36,WDC200306C00075000,2020-02-21 3:11PM EST,75.0,0.05,0.0,0.14,0.0,-,10,0,70.31,8
37,WDC200306C00076000,2020-02-25 10:43AM EST,76.0,0.12,0.0,0.05,0.0,-,2,9,63.28,8
38,WDC200306C00077000,2020-02-19 5:22PM EST,77.0,0.27,0.0,0.11,0.0,-,-,0,74.22,8
39,WDC200306C00077500,2020-02-13 1:24PM EST,77.5,0.45,0.0,0.13,0.0,-,-,0,77.73,8
40,WDC200306C00080000,2020-02-18 9:49AM EST,80.0,0.13,0.0,0.14,0.0,-,4,0,86.33,8
41,WDC200306C00085000,2020-02-06 3:55PM EST,85.0,0.01,0.0,0.1,0.0,-,1,0,96.09,8
42,WDC200306C00090000,2020-01-31 3:27PM EST,90.0,0.01,0.0,0.03,0.0,-,1,0,94.53,8
0,WDC200313C00050000,2020-02-26 10:28AM EST,50.0,11.64,9.65,10.05,-2.36,-16.86%,10,0,59.08,15
1,WDC200313C00055000,2020-02-25 11:06AM EST,55.0,6.85,5.55,5.7,0.0,-,9,0,55.81,15
2,WDC200313C00060000,2020-02-26 2:16PM EST,60.0,2.6,2.43,2.49,-0.03,-1.14%,63,0,51.81,15
3,WDC200313C00060500,2020-02-26 1:15PM EST,60.5,2.57,2.18,2.25,-0.28,-9.82%,58,4,51.27,15
4,WDC200313C00061000,2020-02-26 12:27PM EST,61.0,2.34,1.97,2.05,-0.29,-11.03%,2,0,51.27,15
5,WDC200313C00061500,2020-02-26 11:39AM EST,61.5,2.21,1.78,1.86,0.0,-,2,0,51.27,15
6,WDC200313C00062000,2020-02-25 3:49PM EST,62.0,1.9,1.58,1.66,0.0,-,10,0,50.78,15
7,WDC200313C00062500,2020-02-25 10:15AM EST,62.5,2.76,1.96,2.08,0.0,-,-,-,62.35,15
8,WDC200313C00063000,2020-02-25 1:22PM EST,63.0,1.61,1.28,1.37,0.0,-,4,0,51.15,15
9,WDC200313C00063500,2020-02-25 11:23AM EST,63.5,1.61,1.46,1.59,0.0,-,-,-,58.55,15
10,WDC200313C00064000,2020-02-25 3:33PM EST,64.0,1.1,1.29,1.4,0.0,-,-,-,57.59,15
11,WDC200313C00064500,2020-02-25 12:32PM EST,64.5,1.16,0.86,0.97,0.0,-,1,0,50.39,15
12,WDC200313C00065000,2020-02-26 12:53PM EST,65.0,0.94,0.74,0.79,0.05,+5.62%,1,0,49.81,15
13,WDC200313C00065500,2020-02-19 9:52AM EST,65.5,5.61,0.68,0.76,0.0,-,306,0,50.44,15
14,WDC200313C00066000,2020-02-26 9:43AM EST,66.0,0.67,0.55,0.61,-0.12,-15.19%,22,0,49.71,15
15,WDC200313C00066500,2020-02-25 12:25PM EST,66.5,0.67,0.53,0.58,0.0,-,2,0,50.29,15
16,WDC200313C00067000,2020-02-26 9:53AM EST,67.0,0.72,0.41,0.47,0.28,+63.64%,1,0,49.71,15
17,WDC200313C00067500,2020-02-25 3:03PM EST,67.5,0.45,0.34,0.44,0.0,-,1,0,50.73,15
18,WDC200313C00068000,2020-02-25 11:04AM EST,68.0,0.52,0.28,0.37,0.0,-,1,37,50.2,15
19,WDC200313C00068500,2020-02-20 3:58PM EST,68.5,0.36,0.24,0.34,-0.09,-20.00%,11,0,50.88,15
20,WDC200313C00069000,2020-02-24 3:06PM EST,69.0,0.25,0.2,0.27,0.0,-,1,0,49.71,15
21,WDC200313C00069500,2020-02-19 3:34PM EST,69.5,1.92,0.16,0.26,0.0,-,5,0,50.98,15
22,WDC200313C00070000,2020-02-26 11:10AM EST,70.0,0.25,0.15,0.23,0.01,+4.17%,2,0,51.27,15
23,WDC200313C00070500,2020-02-18 1:26PM EST,70.5,1.71,0.11,0.17,0.0,-,14,40,49.51,15
24,WDC200313C00071000,2020-02-24 2:20PM EST,71.0,0.46,0.09,0.15,0.0,-,2,0,49.81,15
