,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,WFC200228P00041000,2020-02-26 1:27PM EST,41.0,0.02,0.02,0.04,-0.03,-60.00%,652,79,52.34,1
1,WFC200228P00042000,2020-02-26 10:26AM EST,42.0,0.04,0.06,0.08,-0.03,-42.86%,19,0,49.61,1
2,WFC200228P00042500,2020-02-25 3:21PM EST,42.5,0.07,0.09,0.1,-0.04,-36.36%,3,248,44.73,1
3,WFC200228P00043000,2020-02-26 1:33PM EST,43.0,0.1,0.14,0.15,-0.06,-37.50%,5,0,42.19,1
4,WFC200228P00043500,2020-02-26 1:58PM EST,43.5,0.24,0.22,0.23,-0.02,-7.69%,175,0,40.04,1
5,WFC200228P00044000,2020-02-26 1:46PM EST,44.0,0.34,0.33,0.35,-0.01,-2.86%,242,1127,37.99,1
6,WFC200228P00044500,2020-02-26 12:53PM EST,44.5,0.51,0.54,0.56,0.05,+10.87%,184,0,38.18,1
7,WFC200228P00045000,2020-02-26 2:06PM EST,45.0,0.74,0.77,0.8,0.09,+13.85%,473,685,36.23,1
8,WFC200228P00045500,2020-02-26 11:47AM EST,45.5,0.92,1.1,1.14,0.19,+26.03%,40,0,36.52,1
9,WFC200228P00046000,2020-02-26 1:31PM EST,46.0,1.52,1.56,1.59,0.35,+29.91%,80,2237,41.9,1
10,WFC200228P00046500,2020-02-26 1:16PM EST,46.5,1.77,2.0,2.07,0.17,+10.62%,509,1624,48.44,1
11,WFC200228P00047000,2020-02-25 3:35PM EST,47.0,1.88,2.5,2.56,-0.11,-5.53%,53,0,51.76,1
12,WFC200228P00047500,2020-02-26 12:38PM EST,47.5,2.58,2.98,3.1,0.09,+3.61%,589,2351,59.96,1
13,WFC200228P00048000,2020-02-26 1:40PM EST,48.0,3.5,3.4,3.5,0.54,+18.24%,124,1521,53.52,1
14,WFC200228P00048500,2020-02-25 3:56PM EST,48.5,3.75,3.95,4.05,0.24,+6.84%,2,0,67.97,1
15,WFC200228P00049000,2020-02-24 1:17PM EST,49.0,3.9,4.4,4.5,0.09,+2.36%,19,0,64.84,1
16,WFC200228P00049500,2020-02-26 10:54AM EST,49.5,4.9,5.0,5.1,1.97,+67.24%,37,0,87.3,1
17,WFC200228P00050000,2020-02-26 12:10PM EST,50.0,5.2,5.45,5.6,1.75,+50.72%,4,13,89.65,1
18,WFC200228P00050500,2020-02-11 1:35PM EST,50.5,2.4,5.85,6.1,0.0,-,5,0,86.33,1
19,WFC200228P00051000,2020-02-24 3:50PM EST,51.0,4.43,6.35,6.55,0.0,-,1,0,85.94,1
21,WFC200228P00052000,2020-02-07 3:33PM EST,52.0,4.07,7.4,7.7,0.0,-,3,24,116.21,1
22,WFC200228P00052500,2020-02-07 2:40PM EST,52.5,4.7,7.8,8.15,0.0,-,10,0,107.03,1
24,WFC200228P00053500,2020-02-24 10:11AM EST,53.5,6.67,8.8,9.2,0.0,-,20,0,122.27,1
25,WFC200228P00054000,2020-02-10 9:58AM EST,54.0,6.45,9.35,9.7,0.0,-,1,1,132.42,1
0,WFC200306P00040000,2020-02-20 3:10PM EST,40.0,0.06,0.1,0.12,0.0,-,10,0,47.07,8
1,WFC200306P00040500,2020-02-20 3:06PM EST,40.5,0.08,0.14,0.15,0.0,-,1,0,45.51,8
2,WFC200306P00041000,2020-02-20 3:06PM EST,41.0,0.11,0.17,0.19,0.0,-,1,0,43.95,8
3,WFC200306P00042000,2020-02-26 1:35PM EST,42.0,0.26,0.27,0.29,-0.01,-3.70%,26,423,40.43,8
4,WFC200306P00042500,2020-02-25 3:52PM EST,42.5,0.3,0.36,0.37,-0.06,-16.67%,4,155,39.06,8
5,WFC200306P00043000,2020-02-26 11:48AM EST,43.0,0.39,0.46,0.47,-0.03,-7.14%,20,0,37.74,8
6,WFC200306P00043500,2020-02-26 2:19PM EST,43.5,0.58,0.58,0.6,0.05,+9.43%,105,518,36.62,8
7,WFC200306P00044000,2020-02-26 12:08PM EST,44.0,0.65,0.74,0.77,-0.02,-2.99%,47,450,35.79,8
8,WFC200306P00044500,2020-02-26 10:14AM EST,44.5,0.92,0.93,0.97,0.08,+9.52%,231,0,34.82,8
9,WFC200306P00045000,2020-02-26 1:41PM EST,45.0,1.14,1.16,1.19,0.13,+12.87%,117,647,33.2,8
10,WFC200306P00045500,2020-02-26 11:33AM EST,45.5,1.22,1.45,1.48,0.13,+11.93%,41,0,32.62,8
11,WFC200306P00046000,2020-02-26 12:22PM EST,46.0,1.53,1.81,1.86,0.08,+5.52%,80,1132,33.99,8
12,WFC200306P00046500,2020-02-26 1:12PM EST,46.5,2.12,2.2,2.25,0.36,+20.45%,19,1359,34.72,8
13,WFC200306P00047000,2020-02-26 1:41PM EST,47.0,2.68,2.58,2.66,0.58,+27.62%,5,1189,35.25,8
14,WFC200306P00047500,2020-02-25 3:57PM EST,47.5,2.19,3.0,3.1,-0.44,-16.73%,6,764,36.23,8
15,WFC200306P00048000,2020-02-26 11:14AM EST,48.0,2.96,3.5,3.6,0.71,+31.56%,21,1232,40.14,8
16,WFC200306P00048500,2020-02-21 3:44PM EST,48.5,2.78,3.95,4.1,0.0,-,3,0,43.95,8
17,WFC200306P00049000,2020-02-25 9:42AM EST,49.0,2.83,4.45,4.55,0.0,-,15,86,44.14,8
18,WFC200306P00049500,2020-02-21 3:46PM EST,49.5,2.09,4.9,5.0,0.0,-,5,60,43.36,8
19,WFC200306P00050000,2020-02-25 3:54PM EST,50.0,4.38,5.5,5.6,-0.52,-10.61%,2,76,50.78,8
20,WFC200306P00050500,2020-02-12 1:01PM EST,50.5,2.62,5.85,6.1,0.0,-,24,0,58.01,8
21,WFC200306P00051000,2020-02-18 3:55PM EST,51.0,4.0,6.4,6.6,0.0,-,6,4,52.54,8
22,WFC200306P00051500,2020-02-24 1:05PM EST,51.5,5.15,6.85,7.0,0.0,-,-,2,55.47,8
23,WFC200306P00052500,2020-02-18 11:41AM EST,52.5,5.85,7.8,8.1,0.0,-,6,0,54.3,8
0,WFC200313P00040000,2020-02-20 11:46AM EST,40.0,0.06,0.18,0.21,0.02,+50.00%,1,0,41.8,15
1,WFC200313P00041000,2020-02-26 11:13AM EST,41.0,0.21,0.26,0.3,0.14,+200.00%,200,4,39.06,15
2,WFC200313P00041500,2020-02-06 2:32PM EST,41.5,0.32,0.33,0.37,0.0,-,84,0,38.14,15
3,WFC200313P00042000,2020-02-24 12:29PM EST,42.0,0.17,0.39,0.46,0.0,-,-,1,37.4,15
4,WFC200313P00042500,2020-02-26 12:18PM EST,42.5,0.52,0.5,0.54,0.03,+6.12%,110,0,35.74,15
5,WFC200313P00043000,2020-02-25 2:56PM EST,43.0,0.65,0.61,0.65,0.06,+10.17%,9,0,34.47,15
6,WFC200313P00043500,2020-02-26 12:34PM EST,43.5,0.63,0.76,0.81,-0.01,-1.56%,1,0,34.03,15
7,WFC200313P00044000,2020-02-26 12:17PM EST,44.0,0.98,0.94,0.98,0.2,+25.64%,59,102,33.11,15
8,WFC200313P00044500,2020-02-25 3:35PM EST,44.5,1.02,1.11,1.17,0.0,-,29,0,31.93,15
9,WFC200313P00045000,2020-02-26 11:10AM EST,45.0,1.4,1.37,1.43,0.25,+21.74%,33,276,31.79,15
10,WFC200313P00045500,2020-02-26 11:03AM EST,45.5,1.17,1.65,1.72,-0.17,-12.69%,12,67,31.54,15
11,WFC200313P00046000,2020-02-26 11:04AM EST,46.0,1.44,1.95,2.02,-0.15,-9.43%,1,343,30.76,15
12,WFC200313P00046500,2020-02-25 1:46PM EST,46.5,2.26,2.32,2.38,0.26,+13.00%,1,0,30.76,15
13,WFC200313P00047000,2020-02-26 1:41PM EST,47.0,2.74,2.73,2.79,0.41,+17.60%,3,601,31.64,15
14,WFC200313P00047500,2020-02-26 1:53PM EST,47.5,3.08,3.05,3.2,0.91,+41.94%,1,200,31.84,15
15,WFC200313P00048000,2020-02-24 2:19PM EST,48.0,3.01,3.5,3.65,0.0,-,1,354,33.01,15
16,WFC200313P00048500,2020-02-21 11:58AM EST,48.5,3.87,4.0,4.15,2.39,+161.49%,39,0,36.04,15
17,WFC200313P00049000,2020-02-25 12:49PM EST,49.0,3.26,4.4,4.55,0.0,-,38,91,33.79,15
18,WFC200313P00049500,2020-02-21 12:05PM EST,49.5,2.24,4.9,5.05,0.0,-,31,14,36.43,15
19,WFC200313P00050000,2020-02-26 9:55AM EST,50.0,4.45,5.35,5.6,1.0,+28.99%,4,37,41.9,15
20,WFC200313P00050500,2020-02-18 12:08AM EST,50.5,3.5,5.85,6.1,0.0,-,20,0,44.43,15
21,WFC200313P00051000,2020-02-03 12:14AM EST,51.0,3.47,6.4,6.6,0.0,-,-,15,46.97,15
22,WFC200313P00052000,2020-02-11 3:55PM EST,52.0,4.01,7.3,7.65,0.0,-,2,1,54.79,15
0,WFC200320P00025000,2020-02-25 1:58PM EST,25.0,0.02,0.0,0.03,0.0,-,2,0,90.63,22
1,WFC200320P00027500,2019-11-20 9:30AM EST,27.5,0.01,0.01,0.03,0.0,-,150,405,78.91,22
2,WFC200320P00030000,2020-02-26 1:12PM EST,30.0,0.02,0.0,0.02,0.0,-,60,101,60.94,22
3,WFC200320P00032500,2020-02-25 2:38PM EST,32.5,0.04,0.03,0.06,0.0,-,15,0,60.55,22
4,WFC200320P00035000,2020-02-24 3:58PM EST,35.0,0.08,0.05,0.08,0.0,-,52,0,51.17,22
5,WFC200320P00037500,2020-02-26 12:16PM EST,37.5,0.12,0.13,0.14,0.0,-,15,0,45.31,22
6,WFC200320P00040000,2020-02-26 12:54PM EST,40.0,0.23,0.28,0.29,-0.02,-8.00%,24,3120,38.77,22
7,WFC200320P00041000,2020-02-25 3:44PM EST,41.0,0.36,0.26,0.27,0.0,-,-,-,31.74,22
8,WFC200320P00041500,2020-02-26 11:51AM EST,41.5,0.34,0.46,0.48,-0.1,-22.73%,4,82,35.65,22
9,WFC200320P00042000,2020-02-26 10:01AM EST,42.0,0.4,0.36,0.37,-0.09,-18.37%,6,-,28.71,22
10,WFC200320P00042500,2020-02-25 2:45PM EST,42.5,0.59,0.65,0.66,0.01,+1.72%,126,0,33.3,22
11,WFC200320P00043000,2020-02-26 10:12AM EST,43.0,0.57,0.51,0.52,-0.15,-20.83%,37,-,25.68,22
12,WFC200320P00043500,2020-02-26 10:54AM EST,43.5,0.92,0.93,0.94,0.16,+21.05%,90,16,31.69,22
13,WFC200320P00044000,2020-02-26 1:34PM EST,44.0,1.0,1.1,1.12,0.04,+4.17%,40,166,31.01,22
