,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,WHR200228C00131000,2020-02-25 3:01PM EST,131.0,6.6,7.45,11.65,0.0,-,-,-,111.08,1
1,WHR200228C00132000,2020-02-25 1:43PM EST,132.0,4.1,8.15,8.45,0.0,-,-,-,97.71,1
2,WHR200228C00133000,2020-02-25 6:43PM EST,133.0,4.85,6.4,8.0,0.0,-,-,-,87.79,1
3,WHR200228C00134000,2020-02-25 2:34PM EST,134.0,2.9,6.15,6.55,0.0,-,-,-,83.3,1
4,WHR200228C00135000,2020-02-26 9:48AM EST,135.0,5.3,5.15,5.65,2.85,+116.33%,10,-,76.22,1
5,WHR200228C00136000,2020-02-26 12:55PM EST,136.0,2.51,2.52,2.69,-0.09,-3.46%,23,8,31.15,1
6,WHR200228C00137000,2020-02-26 12:32PM EST,137.0,1.92,1.95,2.12,-0.02,-1.03%,43,31,32.57,1
7,WHR200228C00138000,2020-02-26 9:38AM EST,138.0,1.76,2.89,3.1,0.01,+0.57%,5,-,60.84,1
8,WHR200228C00139000,2020-02-25 3:47PM EST,139.0,1.18,1.11,1.25,-0.12,-9.23%,18,0,34.67,1
9,WHR200228C00140000,2020-02-26 12:11PM EST,140.0,0.87,0.78,0.92,-0.15,-14.71%,14,83,35.21,1
10,WHR200228C00141000,2020-02-26 10:51AM EST,141.0,1.01,0.55,0.65,0.26,+34.67%,18,0,35.35,1
11,WHR200228C00142000,2020-02-26 1:49PM EST,142.0,0.48,0.36,0.48,-0.05,-9.43%,39,0,36.48,1
12,WHR200228C00143000,2020-02-26 1:32PM EST,143.0,0.26,0.24,0.34,-0.17,-39.53%,89,101,37.11,1
13,WHR200228C00144000,2020-02-26 9:56AM EST,144.0,0.26,0.15,0.22,-0.02,-7.14%,17,0,36.91,1
14,WHR200228C00145000,2020-02-25 3:33PM EST,145.0,0.18,0.09,0.15,0.03,+20.00%,20,0,37.5,1
15,WHR200228C00146000,2020-02-25 1:18PM EST,146.0,0.06,0.0,0.11,-0.08,-57.14%,25,51,38.67,1
16,WHR200228C00147000,2020-02-26 1:32PM EST,147.0,0.06,0.03,0.07,-0.04,-40.00%,141,147,38.87,1
17,WHR200228C00148000,2020-02-26 11:52AM EST,148.0,0.05,0.0,0.06,-0.01,-16.67%,48,0,41.02,1
18,WHR200228C00149000,2020-02-24 3:28PM EST,149.0,0.26,0.0,0.06,0.0,-,11,105,44.34,1
19,WHR200228C00150000,2020-02-25 1:33PM EST,150.0,0.01,0.0,0.02,-0.01,-50.00%,3,0,40.63,1
20,WHR200228C00152500,2020-02-21 2:53PM EST,152.5,0.03,0.01,0.03,0.0,-,30,0,50.0,1
21,WHR200228C00155000,2020-02-26 9:43AM EST,155.0,0.03,0.0,0.09,-0.01,-25.00%,2,90,59.96,1
22,WHR200228C00157500,2020-02-24 3:02PM EST,157.5,0.03,0.0,0.03,0.0,-,2,0,58.59,1
23,WHR200228C00160000,2020-02-24 3:02PM EST,160.0,0.01,0.0,0.03,0.0,-,1,0,64.06,1
24,WHR200228C00162500,2020-02-21 11:33AM EST,162.5,0.03,0.0,0.03,0.0,-,11,48,70.31,1
25,WHR200228C00165000,2020-02-19 12:00PM EST,165.0,0.02,0.0,0.02,0.0,-,14,0,73.44,1
26,WHR200228C00167500,2020-02-13 10:07AM EST,167.5,0.06,0.0,0.03,0.0,-,1,5,81.25,1
27,WHR200228C00170000,2020-01-30 11:02AM EST,170.0,0.06,0.04,0.03,0.0,-,-,2,95.7,1
28,WHR200228C00172500,2020-02-13 2:04PM EST,172.5,0.05,0.0,0.1,0.0,-,4,7,106.25,1
29,WHR200228C00175000,2020-02-11 2:49PM EST,175.0,0.04,0.0,0.09,0.0,-,6,18,110.16,1
0,WHR200306C00135000,2020-02-26 9:56AM EST,135.0,6.13,4.65,4.9,1.83,+42.56%,1,3,33.99,8
1,WHR200306C00136000,2020-02-25 3:05PM EST,136.0,4.25,5.55,5.75,0.0,-,-,-,50.71,8
2,WHR200306C00137000,2020-02-26 10:06AM EST,137.0,4.66,4.8,5.05,1.86,+66.43%,6,-,48.95,8
3,WHR200306C00138000,2020-02-25 1:33PM EST,138.0,4.3,3.1,3.4,1.69,+64.75%,2,25,36.4,8
4,WHR200306C00139000,2020-02-26 1:21PM EST,139.0,3.18,2.69,2.87,0.65,+25.69%,11,37,35.77,8
5,WHR200306C00140000,2020-02-26 10:26AM EST,140.0,3.15,3.25,3.45,0.9,+40.00%,14,-,46.92,8
6,WHR200306C00141000,2020-02-26 10:47AM EST,141.0,2.22,1.98,2.15,-0.88,-28.39%,5,8,36.69,8
7,WHR200306C00142000,2020-02-26 9:47AM EST,142.0,2.36,2.34,2.45,0.79,+50.32%,2,-,44.19,8
8,WHR200306C00143000,2020-02-26 11:31AM EST,143.0,2.13,1.4,1.55,1.1,+106.80%,27,7,37.09,8
9,WHR200306C00144000,2020-02-25 2:33PM EST,144.0,1.67,1.64,1.79,0.74,+79.57%,1,-,43.58,8
10,WHR200306C00145000,2020-02-26 1:01PM EST,145.0,1.1,0.94,1.05,0.1,+10.00%,14,16,36.82,8
11,WHR200306C00146000,2020-02-26 11:43AM EST,146.0,1.3,0.77,0.87,0.72,+124.14%,10,0,36.96,8
12,WHR200306C00147000,2020-02-26 10:16AM EST,147.0,1.09,0.64,0.74,0.4,+57.97%,7,4,37.55,8
13,WHR200306C00148000,2020-02-26 11:43AM EST,148.0,0.88,0.52,0.61,0.48,+120.00%,13,26,37.72,8
14,WHR200306C00149000,2020-02-26 9:49AM EST,149.0,0.64,0.39,0.5,0.34,+113.33%,2,23,37.89,8
15,WHR200306C00150000,2020-02-24 1:56PM EST,150.0,0.64,0.35,0.41,0.0,-,6,0,38.09,8
16,WHR200306C00152500,2020-02-21 2:08PM EST,152.5,0.35,0.19,0.26,0.0,-,1,0,39.11,8
17,WHR200306C00155000,2020-02-25 2:20PM EST,155.0,0.12,0.1,0.16,0.0,-,11,157,39.94,8
18,WHR200306C00157500,2020-02-24 12:06PM EST,157.5,0.14,0.05,0.13,0.0,-,12,0,42.68,8
19,WHR200306C00160000,2020-02-24 11:22AM EST,160.0,0.05,0.03,0.09,0.0,-,5,0,44.14,8
20,WHR200306C00162500,2020-02-19 11:09AM EST,162.5,0.07,0.0,0.08,0.0,-,11,0,47.07,8
21,WHR200306C00165000,2020-02-19 10:51AM EST,165.0,0.05,0.0,0.13,0.0,-,6,0,54.79,8
22,WHR200306C00167500,2020-02-03 3:53PM EST,167.5,0.3,0.0,0.13,0.0,-,1,0,52.93,8
23,WHR200306C00170000,2020-02-19 10:22AM EST,170.0,0.05,0.0,0.1,0.0,-,1,8,54.3,8
24,WHR200306C00172500,2020-01-28 12:42PM EST,172.5,0.56,0.0,0.09,0.0,-,-,7,57.03,8
25,WHR200306C00175000,2020-02-07 2:53PM EST,175.0,0.11,0.0,0.12,0.0,-,3,1,62.31,8
0,WHR200313C00125000,2020-02-24 11:25AM EST,125.0,14.54,12.55,13.85,-1.64,-10.14%,1,1,39.99,15
1,WHR200313C00130000,2020-02-19 9:40AM EST,130.0,19.63,8.3,9.65,0.0,-,43,0,38.33,15
2,WHR200313C00140000,2020-02-26 10:19AM EST,140.0,3.9,3.85,4.15,1.65,+73.33%,2,-,41.91,15
3,WHR200313C00141000,2020-02-25 6:43PM EST,141.0,3.55,3.4,3.85,0.0,-,-,-,42.84,15
4,WHR200313C00142000,2020-02-24 3:23PM EST,142.0,3.35,2.32,2.54,0.71,+26.89%,2,3,34.69,15
5,WHR200313C00145000,2020-02-26 1:30PM EST,145.0,1.77,1.46,1.64,-2.88,-61.94%,1,0,34.5,15
6,WHR200313C00147000,2020-02-20 12:12PM EST,147.0,3.9,1.04,1.24,0.0,-,3,37,34.94,15
7,WHR200313C00149000,2020-02-21 9:50AM EST,149.0,3.25,0.74,0.93,0.0,-,1,2,35.35,15
8,WHR200313C00150000,2020-02-21 12:33PM EST,150.0,0.9,0.61,0.79,-1.61,-64.14%,1,0,35.4,15
9,WHR200313C00152500,2020-02-26 1:30PM EST,152.5,0.5,0.41,0.52,-0.1,-16.67%,3,17,35.55,15
10,WHR200313C00155000,2020-02-21 12:09PM EST,155.0,1.11,0.22,0.34,0.0,-,6,9,35.79,15
11,WHR200313C00157500,2020-02-20 10:15AM EST,157.5,0.81,0.14,0.26,0.0,-,3,6,37.35,15
12,WHR200313C00160000,2020-02-25 2:18PM EST,160.0,0.09,0.09,0.14,0.0,-,9,10,36.43,15
13,WHR200313C00162500,2020-02-21 1:03PM EST,162.5,0.1,0.0,0.11,-0.12,-54.55%,10,0,37.99,15
14,WHR200313C00165000,2020-02-20 3:55PM EST,165.0,0.2,0.0,0.11,0.0,-,3,0,40.92,15
0,WHR200320C00070000,2019-12-23 9:47AM EST,70.0,78.75,79.2,83.3,0.0,-,1,1,383.3,22
1,WHR200320C00100000,2019-12-17 3:15PM EST,100.0,47.18,53.3,55.5,0.0,-,-,0,267.97,22
2,WHR200320C00105000,2019-10-13 11:07PM EST,105.0,50.53,38.6,42.05,0.0,-,-,10,158.04,22
3,WHR200320C00110000,2019-11-19 3:13PM EST,110.0,35.51,36.1,40.55,0.0,-,20,0,170.31,22
4,WHR200320C00120000,2020-01-15 10:39AM EST,120.0,35.1,30.2,34.5,0.0,-,1,625,168.9,22
5,WHR200320C00125000,2020-02-19 12:55PM EST,125.0,22.05,13.25,13.7,0.0,-,1,5,31.35,22
6,WHR200320C00130000,2020-02-25 2:17PM EST,130.0,7.93,9.35,9.8,0.0,-,1,45,33.68,22
7,WHR200320C00135000,2020-02-26 12:22PM EST,135.0,6.76,6.15,6.35,1.84,+37.40%,17,0,32.91,22
8,WHR200320C00138000,2020-02-25 3:32PM EST,138.0,4.0,5.6,5.85,0.0,-,-,-,40.86,22
9,WHR200320C00140000,2020-02-26 12:57PM EST,140.0,3.91,3.65,3.8,0.33,+9.22%,25,107,32.78,22
10,WHR200320C00141000,2020-02-26 12:35PM EST,141.0,3.7,3.2,3.4,0.75,+25.42%,51,12,32.81,22
11,WHR200320C00142000,2020-02-26 10:11AM EST,142.0,3.3,3.65,3.85,0.78,+30.95%,4,-,38.82,22
12,WHR200320C00143000,2020-02-24 3:35PM EST,143.0,3.9,3.25,3.45,0.0,-,-,-,38.51,22
13,WHR200320C00144000,2020-02-25 2:05PM EST,144.0,3.15,2.2,2.38,1.28,+68.45%,4,5,32.84,22
14,WHR200320C00145000,2020-02-25 3:47PM EST,145.0,2.38,1.96,2.06,0.41,+20.81%,6,0,32.54,22
15,WHR200320C00146000,2020-02-26 10:54AM EST,146.0,2.17,1.68,1.8,0.45,+26.16%,3,5,32.5,22
16,WHR200320C00147000,2020-02-26 1:27PM EST,147.0,1.79,1.47,1.58,0.31,+20.95%,4,22,32.57,22
17,WHR200320C00148000,2020-02-24 12:45PM EST,148.0,1.48,1.64,1.77,0.0,-,-,-,36.23,22
18,WHR200320C00149000,2020-02-25 12:47PM EST,149.0,1.11,1.44,1.54,0.0,-,-,-,35.99,22
19,WHR200320C00150000,2020-02-26 10:26AM EST,150.0,1.12,0.97,1.06,0.29,+34.94%,11,0,32.89,22
20,WHR200320C00152500,2020-02-26 11:25AM EST,152.5,0.87,0.65,0.72,0.2,+29.85%,11,11,32.76,22
21,WHR200320C00155000,2020-02-26 1:27PM EST,155.0,0.48,0.43,0.49,0.08,+20.00%,25,548,32.91,22
22,WHR200320C00157500,2020-02-24 12:27PM EST,157.5,0.42,0.36,0.43,0.0,-,-,-,35.11,22
23,WHR200320C00160000,2020-02-26 11:29AM EST,160.0,0.29,0.19,0.25,0.09,+45.00%,9,0,34.08,22
24,WHR200320C00165000,2020-02-26 12:47PM EST,165.0,0.13,0.08,0.13,0.03,+30.00%,8,0,35.35,22
25,WHR200320C00170000,2020-02-25 12:20PM EST,170.0,0.03,0.03,0.08,0.0,-,791,0,37.4,22
26,WHR200320C00175000,2020-02-18 1:14PM EST,175.0,0.07,0.0,0.05,0.0,-,19,392,39.26,22
27,WHR200320C00180000,2020-02-11 12:11PM EST,180.0,0.12,0.0,0.05,0.0,-,16,98,43.36,22
28,WHR200320C00185000,2020-01-28 3:53PM EST,185.0,0.08,0.01,0.05,0.0,-,13,0,47.07,22
29,WHR200320C00190000,2019-12-13 10:17AM EST,190.0,0.55,0.0,0.12,0.0,-,2,30,51.95,22
30,WHR200320C00195000,2019-12-17 11:54AM EST,195.0,0.18,0.1,0.23,0.0,-,7,0,63.48,22
31,WHR200320C00200000,2020-02-24 10:02AM EST,200.0,0.03,0.0,0.03,0.0,-,3,93,50.78,22
32,WHR200320C00210000,2019-11-04 1:24PM EST,210.0,0.19,0.03,0.19,0.0,-,10,0,70.7,22
