,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,WLTW200320C00200000,2020-01-29 10:53AM EST,200.0,16.12,5.5,8.8,0.0,-,-,0,32.56,22
1,WLTW200320C00210000,2020-02-25 10:35AM EST,210.0,2.82,1.3,4.8,0.0,-,2,20,35.41,22
2,WLTW200320C00220000,2020-02-19 11:09AM EST,220.0,1.65,0.0,4.9,0.0,-,8,85,51.64,22
3,WLTW200320C00230000,2020-02-13 12:50PM EST,230.0,0.84,0.0,0.75,0.0,-,15,192,34.45,22
4,WLTW200320C00240000,2020-02-05 2:49PM EST,240.0,0.5,0.0,0.75,0.0,-,-,0,43.09,22
0,WLTW200417C00140000,2019-12-27 1:24PM EST,140.0,62.48,69.1,74.0,0.0,-,8,1,114.76,50
1,WLTW200417C00150000,2019-12-27 9:40AM EST,150.0,52.1,59.0,64.0,0.0,-,3,3,99.79,50
2,WLTW200417C00180000,2019-12-02 12:23PM EST,180.0,19.45,24.9,27.9,0.0,-,2,0,43.39,50
3,WLTW200417C00190000,2020-02-19 3:44PM EST,190.0,17.3,14.5,17.6,0.0,-,10,0,30.46,50
4,WLTW200417C00195000,2020-02-14 1:43PM EST,195.0,19.28,10.8,13.8,0.0,-,4,38,28.84,50
5,WLTW200417C00200000,2020-02-11 1:12PM EST,200.0,15.9,7.3,10.6,0.0,-,1,35,28.06,50
6,WLTW200417C00210000,2020-02-19 3:51PM EST,210.0,7.85,3.7,4.3,0.0,-,1,0,22.28,50
7,WLTW200417C00220000,2020-02-19 3:51PM EST,220.0,2.3,1.35,1.8,-1.4,-37.84%,25,0,22.43,50
8,WLTW200417C00230000,2020-02-25 10:44AM EST,230.0,0.65,0.3,0.95,0.0,-,3,641,24.84,50
9,WLTW200417C00240000,2020-02-18 12:10AM EST,240.0,0.8,0.0,0.75,0.0,-,-,0,29.24,50
0,WLTW200717C00145000,2019-12-27 1:24PM EST,145.0,57.73,64.5,69.0,0.0,-,8,8,65.53,141
1,WLTW200717C00150000,2019-12-27 9:40AM EST,150.0,52.5,59.5,64.4,0.0,-,3,3,61.76,141
2,WLTW200717C00160000,2019-12-26 2:43PM EST,160.0,42.82,46.6,51.2,0.0,-,-,100,50.95,141
3,WLTW200717C00175000,2020-02-10 11:06AM EST,175.0,38.8,29.3,33.5,0.0,-,1,0,31.51,141
4,WLTW200717C00185000,2020-02-24 1:03PM EST,185.0,25.58,21.0,24.8,0.0,-,2,2,27.52,141
5,WLTW200717C00200000,2020-02-06 10:09AM EST,200.0,17.0,11.6,14.4,0.0,-,1,2,24.62,141
6,WLTW200717C00210000,2020-01-16 3:04PM EST,210.0,8.5,10.1,14.8,0.0,-,2,68,34.37,141
7,WLTW200717C00220000,2020-02-07 3:52PM EST,220.0,6.13,3.3,7.1,0.0,-,58,0,25.93,141
8,WLTW200717C00230000,2020-02-10 3:09PM EST,230.0,4.6,2.0,2.9,0.0,-,8,36,21.41,141
9,WLTW200717C00240000,2020-02-10 3:09PM EST,240.0,2.45,0.0,4.9,0.0,-,9,0,31.33,141
