,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,WMT200228P00100000,2020-02-26 9:30AM EST,100.0,0.04,0.0,0.03,0.03,+300.00%,2,0,59.38,1
1,WMT200228P00102000,2020-02-26 10:11AM EST,102.0,0.04,0.03,0.05,0.0,-,1,20,59.38,1
2,WMT200228P00103000,2020-02-26 12:39PM EST,103.0,0.03,0.01,0.06,0.02,+200.00%,30,42,53.52,1
3,WMT200228P00104000,2020-02-18 12:58PM EST,104.0,0.04,0.01,0.05,0.01,+33.33%,33,273,51.95,1
4,WMT200228P00105000,2020-02-24 12:15PM EST,105.0,0.04,0.03,0.07,0.02,+100.00%,3,0,50.39,1
5,WMT200228P00106000,2020-02-26 9:41AM EST,106.0,0.05,0.03,0.11,-0.06,-54.55%,10,0,49.61,1
6,WMT200228P00107000,2020-02-25 2:56PM EST,107.0,0.07,0.07,0.11,-0.05,-41.67%,14,98,44.53,1
7,WMT200228P00108000,2020-02-26 1:28PM EST,108.0,0.1,0.1,0.14,-0.05,-33.33%,57,200,41.5,1
8,WMT200228P00109000,2020-02-26 11:02AM EST,109.0,0.13,0.13,0.17,-0.09,-40.91%,22,0,37.79,1
9,WMT200228P00110000,2020-02-26 11:10AM EST,110.0,0.15,0.2,0.29,-0.16,-51.61%,95,432,37.7,1
10,WMT200228P00111000,2020-02-26 12:07PM EST,111.0,0.34,0.29,0.38,-0.03,-8.11%,26,0,34.38,1
11,WMT200228P00112000,2020-02-26 1:38PM EST,112.0,0.5,0.46,0.59,-0.06,-10.71%,407,0,33.45,1
12,WMT200228P00113000,2020-02-26 1:53PM EST,113.0,0.66,0.76,0.85,-0.16,-19.51%,937,0,31.49,1
13,WMT200228P00114000,2020-02-26 2:14PM EST,114.0,1.07,1.16,1.21,-0.13,-10.83%,681,0,29.44,1
14,WMT200228P00115000,2020-02-26 1:32PM EST,115.0,1.76,1.7,1.69,0.21,+13.55%,258,0,27.2,1
15,WMT200228P00116000,2020-02-26 1:33PM EST,116.0,2.41,2.43,2.42,0.19,+8.56%,398,1112,27.98,1
16,WMT200228P00117000,2020-02-26 2:21PM EST,117.0,3.35,3.25,3.3,0.53,+18.79%,113,819,30.86,1
17,WMT200228P00118000,2020-02-26 2:17PM EST,118.0,4.19,4.05,4.25,0.44,+11.73%,30,738,34.96,1
18,WMT200228P00119000,2020-02-26 11:35AM EST,119.0,4.5,5.15,5.25,-0.55,-10.89%,31,0,40.63,1
19,WMT200228P00120000,2020-02-25 3:50PM EST,120.0,5.5,6.05,6.35,0.0,-,67,0,50.78,1
20,WMT200228P00121000,2020-02-24 3:51PM EST,121.0,6.1,7.05,7.35,0.0,-,10,0,56.25,1
21,WMT200228P00122000,2020-02-24 12:07PM EST,122.0,6.0,7.55,8.95,0.0,-,37,0,56.35,1
22,WMT200228P00123000,2020-02-25 11:24AM EST,123.0,6.6,8.1,10.15,0.0,-,55,0,52.73,1
23,WMT200228P00124000,2020-02-21 2:06PM EST,124.0,5.65,9.65,11.1,0.0,-,1,0,73.14,1
24,WMT200228P00125000,2020-02-18 3:09PM EST,125.0,5.2,9.95,12.1,0.0,-,100,0,108.74,1
25,WMT200228P00126000,2020-02-24 2:00PM EST,126.0,9.15,11.7,13.35,0.0,-,2,2,90.72,1
26,WMT200228P00127000,2020-01-27 11:27AM EST,127.0,12.03,11.45,14.3,0.0,-,-,1,127.44,1
27,WMT200228P00130000,2020-02-18 11:38AM EST,130.0,11.49,15.35,17.3,0.0,-,1,0,98.05,1
0,WMT200306P00100000,2020-02-26 9:56AM EST,100.0,0.1,0.06,0.13,-0.04,-28.57%,20,120,45.31,8
1,WMT200306P00102000,2020-02-26 11:39AM EST,102.0,0.07,0.1,0.16,0.06,+600.00%,1,14,41.31,8
2,WMT200306P00103000,2020-02-24 11:46AM EST,103.0,0.17,0.13,0.18,0.09,+112.50%,1,21,39.36,8
3,WMT200306P00104000,2020-02-26 9:42AM EST,104.0,0.17,0.16,0.2,-0.05,-22.73%,102,13,37.21,8
4,WMT200306P00105000,2020-02-26 10:30AM EST,105.0,0.22,0.19,0.24,-0.02,-8.33%,9,124,35.65,8
5,WMT200306P00106000,2020-02-25 3:05PM EST,106.0,0.23,0.25,0.3,0.0,-,11,106,34.47,8
6,WMT200306P00107000,2020-02-26 12:07PM EST,107.0,0.26,0.3,0.39,-0.11,-29.73%,16,97,33.64,8
7,WMT200306P00108000,2020-02-25 1:36PM EST,108.0,0.32,0.41,0.49,-0.13,-28.89%,97,0,32.47,8
8,WMT200306P00109000,2020-02-26 12:35PM EST,109.0,0.39,0.52,0.59,-0.25,-39.06%,6,90,30.81,8
9,WMT200306P00110000,2020-02-26 12:37PM EST,110.0,0.51,0.65,0.73,-0.21,-29.17%,83,141,29.35,8
10,WMT200306P00111000,2020-02-26 10:09AM EST,111.0,0.72,0.86,0.97,-0.08,-10.00%,81,0,28.91,8
11,WMT200306P00112000,2020-02-26 1:23PM EST,112.0,0.98,1.13,1.29,-0.12,-10.91%,49,203,28.78,8
12,WMT200306P00113000,2020-02-26 11:49AM EST,113.0,1.08,1.51,1.62,-0.49,-31.21%,170,0,27.83,8
13,WMT200306P00114000,2020-02-26 1:43PM EST,114.0,1.87,1.9,1.97,0.06,+3.31%,253,320,26.25,8
14,WMT200306P00115000,2020-02-26 12:16PM EST,115.0,2.28,2.45,2.43,-0.17,-6.94%,49,375,25.05,8
15,WMT200306P00116000,2020-02-26 1:14PM EST,116.0,2.77,2.96,3.1,0.22,+8.63%,136,641,25.61,8
16,WMT200306P00117000,2020-02-26 1:41PM EST,117.0,3.7,3.75,3.9,0.3,+8.82%,12,414,27.15,8
17,WMT200306P00118000,2020-02-26 2:01PM EST,118.0,4.65,4.45,4.55,0.7,+17.72%,53,249,25.27,8
18,WMT200306P00119000,2020-02-26 11:06AM EST,119.0,5.4,5.3,5.45,1.22,+29.19%,89,159,26.81,8
19,WMT200306P00120000,2020-02-26 1:41PM EST,120.0,6.29,6.0,6.6,0.22,+3.62%,3,71,33.25,8
20,WMT200306P00121000,2020-02-20 9:59AM EST,121.0,3.6,6.15,8.1,0.0,-,1,0,46.0,8
21,WMT200306P00122000,2020-02-21 2:50PM EST,122.0,5.25,7.8,9.25,0.0,-,1,2,52.22,8
22,WMT200306P00123000,2020-02-18 3:09PM EST,123.0,8.65,8.75,10.1,5.11,+144.35%,10,0,52.98,8
23,WMT200306P00124000,2020-02-19 3:46PM EST,124.0,6.15,9.6,11.35,0.0,-,-,0,60.96,8
24,WMT200306P00125000,2020-02-18 12:45PM EST,125.0,5.92,10.55,12.35,0.0,-,-,0,64.31,8
25,WMT200306P00126000,2020-02-14 1:40PM EST,126.0,8.23,11.0,13.5,0.0,-,1,0,70.36,8
0,WMT200313P00100000,2020-02-24 3:05PM EST,100.0,0.09,0.13,0.2,0.0,-,2,0,37.84,15
1,WMT200313P00102000,2020-02-25 2:11PM EST,102.0,0.17,0.21,0.25,0.0,-,6,426,34.86,15
2,WMT200313P00103000,2020-02-25 3:58PM EST,103.0,0.29,0.23,0.3,0.0,-,2,105,33.94,15
3,WMT200313P00104000,2020-02-25 12:09PM EST,104.0,0.28,0.29,0.36,0.09,+47.37%,1,0,33.01,15
4,WMT200313P00105000,2020-02-26 11:03AM EST,105.0,0.28,0.36,0.46,-0.1,-26.32%,2,37,32.62,15
5,WMT200313P00106000,2020-02-26 11:51AM EST,106.0,0.35,0.43,0.53,-0.13,-27.08%,47,154,31.28,15
6,WMT200313P00107000,2020-02-26 11:51AM EST,107.0,0.46,0.54,0.65,0.15,+48.39%,54,0,30.52,15
7,WMT200313P00108000,2020-02-24 12:38PM EST,108.0,0.45,0.63,0.75,0.03,+7.14%,1,0,29.1,15
8,WMT200313P00109000,2020-02-26 2:21PM EST,109.0,0.88,0.77,0.9,0.38,+76.00%,1038,0,28.1,15
9,WMT200313P00110000,2020-02-26 2:17PM EST,110.0,1.04,0.99,1.13,0.03,+2.97%,21,1374,27.69,15
10,WMT200313P00111000,2020-02-26 11:16AM EST,111.0,0.91,1.24,1.31,-0.25,-21.55%,2,0,26.2,15
11,WMT200313P00112000,2020-02-25 12:00PM EST,112.0,1.6,1.54,1.6,0.04,+2.56%,6,0,25.46,15
12,WMT200313P00113000,2020-02-25 12:35PM EST,113.0,2.05,1.88,1.98,0.94,+84.68%,8,0,25.1,15
13,WMT200313P00114000,2020-02-26 1:56PM EST,114.0,2.36,2.3,2.36,0.32,+15.69%,57,938,24.1,15
14,WMT200313P00115000,2020-02-25 1:36PM EST,115.0,2.82,2.79,2.98,0.66,+30.56%,8,0,24.89,15
15,WMT200313P00116000,2020-02-26 2:21PM EST,116.0,3.4,3.35,3.45,0.38,+12.58%,22,301,23.44,15
16,WMT200313P00117000,2020-02-26 12:48PM EST,117.0,3.3,4.05,4.15,-0.61,-15.60%,340,453,23.73,15
17,WMT200313P00118000,2020-02-25 2:29PM EST,118.0,4.75,4.75,4.75,0.25,+5.56%,3,61,22.07,15
18,WMT200313P00119000,2020-02-25 1:46PM EST,119.0,5.22,5.55,5.6,0.0,-,7,56,22.85,15
19,WMT200313P00120000,2020-02-25 1:17PM EST,120.0,6.3,6.25,6.55,1.05,+20.00%,1,28,24.71,15
20,WMT200313P00121000,2020-02-21 3:47PM EST,121.0,7.15,7.05,7.5,1.45,+25.44%,2,0,26.37,15
21,WMT200313P00122000,2020-02-10 10:48AM EST,122.0,7.2,7.8,8.95,0.0,-,-,1,35.89,15
22,WMT200313P00123000,2020-02-19 10:33AM EST,123.0,4.4,8.7,9.85,0.0,-,5,6,36.94,15
0,WMT200320P00070000,2020-01-17 1:46PM EST,70.0,0.01,0.0,0.03,0.0,-,39,401,69.53,22
1,WMT200320P00075000,2020-01-10 12:15PM EST,75.0,0.01,0.0,0.15,0.0,-,1,261,72.85,22
2,WMT200320P00080000,2020-02-20 9:38AM EST,80.0,0.06,0.0,0.07,0.0,-,16,0,57.03,22
3,WMT200320P00085000,2020-02-24 3:59PM EST,85.0,0.07,0.03,0.09,0.0,-,16,0,51.56,22
4,WMT200320P00090000,2020-02-25 3:26PM EST,90.0,0.1,0.06,0.12,0.0,-,6,0,47.36,22
5,WMT200320P00095000,2020-02-26 11:26AM EST,95.0,0.1,0.14,0.17,-0.07,-41.18%,200,0,40.43,22
6,WMT200320P00100000,2020-02-26 12:08PM EST,100.0,0.26,0.25,0.28,-0.03,-10.34%,1136,0,34.28,22
7,WMT200320P00105000,2020-02-26 2:01PM EST,105.0,0.58,0.54,0.59,-0.01,-1.69%,282,3320,29.64,22
8,WMT200320P00107000,2020-02-26 12:12PM EST,107.0,0.7,0.78,0.86,0.04,+6.06%,48,12,28.52,22
9,WMT200320P00108000,2020-02-26 1:33PM EST,108.0,0.85,0.93,0.99,-0.08,-8.60%,54,192,27.44,22
10,WMT200320P00109000,2020-02-26 12:07PM EST,109.0,0.98,1.13,1.19,-0.22,-18.33%,18,96,26.88,22
11,WMT200320P00110000,2020-02-26 1:18PM EST,110.0,1.2,1.39,1.48,-0.07,-5.51%,171,0,26.88,22
12,WMT200320P00111000,2020-02-26 12:36PM EST,111.0,1.33,1.66,1.71,-0.07,-5.00%,283,72,25.87,22
13,WMT200320P00112000,2020-02-26 10:17AM EST,112.0,1.8,1.57,1.64,-0.18,-9.09%,8,-,21.79,22
14,WMT200320P00113000,2020-02-26 9:37AM EST,113.0,2.19,1.89,1.94,-0.16,-6.81%,6,-,20.78,22
15,WMT200320P00114000,2020-02-26 1:33PM EST,114.0,2.85,2.85,2.82,0.01,+0.35%,57,143,24.23,22
16,WMT200320P00115000,2020-02-26 1:26PM EST,115.0,3.2,3.35,3.4,0.05,+1.59%,138,5616,24.57,22
17,WMT200320P00116000,2020-02-25 1:51PM EST,116.0,3.75,3.25,3.45,0.0,-,-,-,19.73,22
18,WMT200320P00117000,2020-02-26 10:20AM EST,117.0,4.25,3.9,4.05,-0.12,-2.75%,2,-,19.02,22
19,WMT200320P00118000,2020-02-25 3:39PM EST,118.0,4.42,5.3,5.4,-0.79,-15.16%,2,22,25.22,22
20,WMT200320P00119000,2020-02-26 9:30AM EST,119.0,5.65,5.3,5.5,1.49,+35.82%,-,-,17.97,22
21,WMT200320P00120000,2020-02-26 11:02AM EST,120.0,6.18,6.95,6.95,-0.49,-7.35%,14,0,25.66,22
22,WMT200320P00121000,2020-02-26 1:44PM EST,121.0,7.85,7.85,7.95,3.75,+91.46%,22,1,27.98,22
23,WMT200320P00125000,2020-02-25 1:32PM EST,125.0,10.5,11.45,11.9,0.0,-,20,774,35.84,22
24,WMT200320P00130000,2020-02-10 2:12PM EST,130.0,15.17,16.0,17.65,0.0,-,1,0,55.42,22
25,WMT200320P00135000,2020-02-24 12:45PM EST,135.0,19.0,19.75,23.4,0.0,-,3,9,74.15,22
26,WMT200320P00140000,2020-02-24 12:46PM EST,140.0,24.0,24.55,28.4,0.0,-,2,2,52.88,22
0,WMT200327P00095000,2020-02-25 2:51PM EST,95.0,0.18,0.13,0.29,0.0,-,9,9,39.55,29
1,WMT200327P00100000,2020-02-24 2:04PM EST,100.0,0.36,0.3,0.37,0.0,-,9,0,32.23,29
2,WMT200327P00102000,2020-02-25 2:12PM EST,102.0,0.38,0.08,0.93,0.0,-,-,-,37.28,29
3,WMT200327P00103000,2020-02-25 9:55AM EST,103.0,0.32,0.16,0.84,0.0,-,-,-,33.84,29
4,WMT200327P00104000,2020-02-25 1:44PM EST,104.0,0.44,0.56,0.65,0.0,-,2,7,29.05,29
5,WMT200327P00105000,2020-02-25 3:56PM EST,105.0,0.71,0.66,0.78,0.05,+7.58%,21,0,28.64,29
6,WMT200327P00106000,2020-02-18 10:28AM EST,106.0,0.29,0.78,0.93,0.0,-,8,11,28.2,29
7,WMT200327P00107000,2020-02-21 11:48AM EST,107.0,0.94,0.94,1.08,-0.05,-5.05%,14,0,27.52,29
