,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,WM200320P00075000,2020-02-18 12:12AM EST,75.0,0.03,-,0.05,0.0,-,-,0,78.13,22
1,WM200320P00090000,2020-02-18 12:12AM EST,90.0,0.01,-,0.05,0.0,-,-,0,50.98,22
2,WM200320P00100000,2020-02-25 1:14PM EST,100.0,0.05,0.00,0.2,0.0,-,2,25,43.56,22
3,WM200320P00105000,2020-02-24 9:30AM EST,105.0,0.1,0.00,0.35,0.0,-,1,6,38.82,22
4,WM200320P00110000,2020-02-26 12:23PM EST,110.0,0.25,0.25,0.35,0.15,+150.00%,11,99,28.91,22
5,WM200320P00115000,2020-02-26 1:15PM EST,115.0,0.75,0.65,0.8,0.05,+7.14%,36,147,24.9,22
6,WM200320P00120000,2020-02-26 2:14PM EST,120.0,1.9,1.90,2.05,0.0,-,39,1155,22.39,22
7,WM200320P00125000,2020-02-26 2:01PM EST,125.0,5.14,4.50,4.9,1.14,+28.50%,164,545,22.75,22
8,WM200320P00130000,2020-02-26 12:23PM EST,130.0,8.7,8.70,9.4,2.0,+29.85%,4,0,29.44,22
9,WM200320P00135000,2020-02-26 9:35AM EST,135.0,13.2,13.30,14.2,4.5,+51.72%,2,1,36.28,22
0,WM200417P00070000,2020-01-13 10:50AM EST,70.0,0.03,0.0,0.05,0.0,-,1,2,55.47,50
1,WM200417P00075000,2019-12-16 11:42AM EST,75.0,0.11,0.0,0.05,0.0,-,1,0,53.13,50
2,WM200417P00080000,2020-01-21 3:14PM EST,80.0,0.05,0.0,0.0,0.0,-,1,0,25.0,50
3,WM200417P00085000,2019-11-21 2:39PM EST,85.0,0.37,0.0,0.3,0.0,-,3,44,53.08,50
4,WM200417P00090000,2020-02-10 12:47PM EST,90.0,0.01,0.0,0.15,0.0,-,1,12,40.63,50
5,WM200417P00095000,2020-02-25 3:40PM EST,95.0,0.11,0.0,0.15,0.0,-,5,107,34.28,50
6,WM200417P00100000,2020-02-26 1:54PM EST,100.0,0.2,0.15,0.25,0.12,+150.00%,8,0,30.91,50
7,WM200417P00105000,2020-02-26 1:44PM EST,105.0,0.35,0.3,0.45,0.0,-,2,338,28.0,50
8,WM200417P00110000,2020-02-26 1:03PM EST,110.0,0.6,0.65,0.75,0.0,-,4,924,24.39,50
9,WM200417P00115000,2020-02-26 12:31PM EST,115.0,1.3,1.3,1.5,0.17,+15.04%,20,648,22.17,50
10,WM200417P00120000,2020-02-26 2:12PM EST,120.0,2.85,2.75,2.95,0.35,+14.00%,32,375,20.26,50
