,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,WU200320C00019000,2020-02-25 1:05PM EST,19.0,5.52,4.90,5.1,0.0,-,1,1,53.13,22
1,WU200320C00021000,2020-02-25 1:06PM EST,21.0,3.6,2.90,3.1,0.0,-,1,0,33.99,22
2,WU200320C00022000,2020-02-13 1:19PM EST,22.0,4.2,2.05,2.15,0.0,-,-,3,29.3,22
3,WU200320C00023000,2020-02-26 11:06AM EST,23.0,1.6,1.20,1.35,-0.1,-5.88%,2,15,29.3,22
4,WU200320C00024000,2020-02-26 1:40PM EST,24.0,0.65,0.60,0.65,-0.8,-55.17%,41,0,25.39,22
5,WU200320C00025000,2020-02-26 12:46PM EST,25.0,0.33,0.25,0.3,-0.05,-13.16%,1,131,26.76,22
6,WU200320C00026000,2020-02-26 11:02AM EST,26.0,0.15,0.05,0.15,0.02,+15.38%,5,1166,29.59,22
7,WU200320C00027000,2020-02-26 1:37PM EST,27.0,0.05,0.00,0.05,0.02,+66.67%,54,616,29.1,22
8,WU200320C00028000,2020-02-26 9:32AM EST,28.0,0.03,0.00,0.05,0.0,-,99,9643,35.94,22
9,WU200320C00029000,2020-02-25 2:03PM EST,29.0,0.05,0.00,0.05,0.0,-,1,0,42.58,22
10,WU200320C00030000,2020-02-14 3:24PM EST,30.0,0.05,0.00,0.05,0.0,-,33,0,48.44,22
11,WU200320C00031000,2020-02-25 11:47AM EST,31.0,0.02,0.00,0.05,0.0,-,1,123,53.91,22
12,WU200320C00032000,2020-02-11 3:22PM EST,32.0,0.1,0.00,0.05,0.0,-,-,16,53.13,22
13,WU200320C00035000,2020-02-13 4:50PM EST,35.0,0.05,-,0.05,0.0,-,-,2,74.22,22
0,WU200417C00026000,2020-02-25 12:43PM EST,26.0,0.27,0.2,0.3,0.0,-,-,-,26.07,50
1,WU200417C00027000,2020-02-25 9:39AM EST,27.0,0.25,0.05,0.2,0.0,-,-,-,28.61,50
0,WU200515C00015000,2019-12-12 10:33AM EST,15.0,11.9,11.2,11.4,0.0,-,1,0,161.91,78
1,WU200515C00017000,2020-02-18 12:01AM EST,17.0,9.2,6.8,7.1,0.0,-,-,0,40.23,78
2,WU200515C00019000,2019-11-07 1:20PM EST,19.0,8.98,7.7,8.1,0.0,-,-,11,126.07,78
3,WU200515C00020000,2020-02-12 10:35AM EST,20.0,6.4,3.9,4.2,0.0,-,3,3,30.76,78
4,WU200515C00022000,2020-02-25 10:01AM EST,22.0,3.28,2.35,2.45,0.0,-,11,0,26.66,78
5,WU200515C00023000,2020-02-12 12:14PM EST,23.0,3.45,1.6,1.75,0.0,-,5,0,26.17,78
6,WU200515C00024000,2020-02-25 2:08PM EST,24.0,1.13,1.1,1.2,-0.17,-13.08%,16,23,26.17,78
7,WU200515C00025000,2020-02-26 1:33PM EST,25.0,0.8,0.65,0.75,-0.12,-13.04%,60,134,25.44,78
8,WU200515C00026000,2020-02-26 11:38AM EST,26.0,0.55,0.4,0.5,0.0,-,20,236,26.51,78
9,WU200515C00027000,2020-02-26 11:57AM EST,27.0,0.3,0.2,0.35,-0.1,-25.00%,7,898,28.13,78
10,WU200515C00028000,2020-02-25 11:43AM EST,28.0,0.21,0.05,0.2,0.0,-,205,0,27.74,78
11,WU200515C00029000,2020-02-24 1:45PM EST,29.0,0.1,0.0,0.1,0.0,-,2,0,26.86,78
12,WU200515C00030000,2020-02-24 9:45AM EST,30.0,0.05,0.0,0.1,0.0,-,2,2764,30.47,78
13,WU200515C00031000,2020-02-12 3:47PM EST,31.0,0.05,0.0,0.1,0.0,-,2,17,33.79,78
14,WU200515C00032000,2020-01-22 12:10PM EST,32.0,0.16,0.0,0.1,0.0,-,4,0,37.11,78
15,WU200515C00033000,2020-02-11 3:56PM EST,33.0,0.25,0.0,0.05,0.0,-,3,0,35.35,78
0,WU200821C00019000,2020-02-12 11:58AM EST,19.0,7.4,5.0,5.3,0.0,-,-,1,28.61,176
1,WU200821C00023000,2020-02-20 1:06PM EST,23.0,3.9,2.05,2.2,0.0,-,1,0,24.76,176
2,WU200821C00024000,2020-02-20 1:10PM EST,24.0,2.3,1.55,1.65,0.0,-,11,0,24.29,176
3,WU200821C00025000,2020-02-25 9:59AM EST,25.0,1.65,1.15,1.2,0.0,-,10,10,23.9,176
4,WU200821C00027000,2020-02-19 3:01PM EST,27.0,1.36,0.5,0.65,0.0,-,1,12,24.56,176
5,WU200821C00028000,2020-02-21 10:24AM EST,28.0,0.35,0.3,0.45,-0.5,-58.82%,2,0,24.41,176
6,WU200821C00029000,2020-02-24 9:54AM EST,29.0,0.35,0.2,0.3,0.0,-,10,16,24.17,176
7,WU200821C00030000,2020-02-10 11:26AM EST,30.0,1.18,0.1,0.2,0.0,-,1,800,24.12,176
8,WU200821C00031000,2020-01-28 1:56PM EST,31.0,0.65,0.0,0.15,0.0,-,-,0,24.81,176
9,WU200821C00033000,2020-02-12 10:08AM EST,33.0,0.15,0.0,0.1,0.0,-,5,3,26.86,176
10,WU200821C00034000,2020-02-18 12:01AM EST,34.0,0.4,0.0,0.1,0.0,-,-,0,28.81,176
11,WU200821C00035000,2020-02-18 3:14PM EST,35.0,0.08,0.0,0.05,0.0,-,10,0,27.15,176
0,WU201120C00023000,2020-02-25 10:40AM EST,23.0,2.9,2.4,2.5,0.0,-,13,9,23.98,267
1,WU201120C00024000,2020-02-21 1:36PM EST,24.0,3.0,1.85,2.0,0.0,-,1,0,24.02,267
2,WU201120C00025000,2020-02-18 10:06AM EST,25.0,2.65,1.4,1.55,0.0,-,1,0,23.71,267
3,WU201120C00027000,2020-02-25 3:38PM EST,27.0,0.9,0.75,0.9,0.0,-,30,66,23.46,267
4,WU201120C00030000,2020-02-24 1:42PM EST,30.0,0.49,0.25,0.4,0.0,-,1,0,24.02,267
5,WU201120C00031000,2020-02-21 12:25PM EST,31.0,0.55,0.15,0.3,0.0,-,4,4,24.12,267
6,WU201120C00035000,2020-02-12 10:14AM EST,35.0,0.23,0.0,0.1,0.0,-,1,1,25.0,267
0,WU210115C00013000,2020-02-14 1:40PM EST,13.0,13.2,10.7,11.1,0.0,-,-,1,33.01,323
1,WU210115C00018000,2020-02-18 12:26PM EST,18.0,8.17,6.1,6.3,0.0,-,3,5,24.71,323
2,WU210115C00020000,2019-12-31 3:05PM EST,20.0,7.2,7.1,7.5,0.0,-,2,428,61.52,323
3,WU210115C00022000,2020-02-12 12:32PM EST,22.0,4.92,3.1,3.3,0.0,-,2,148,24.51,323
4,WU210115C00025000,2020-02-25 10:41AM EST,25.0,1.75,1.55,1.7,0.0,-,20,66,23.24,323
5,WU210115C00027000,2020-02-26 1:09PM EST,27.0,1.05,0.95,1.05,-0.5,-32.26%,9,459,23.17,323
6,WU210115C00030000,2020-02-25 3:51PM EST,30.0,0.45,0.35,0.5,0.0,-,1,1363,23.54,323
7,WU210115C00032000,2020-02-24 1:42PM EST,32.0,0.32,0.2,0.3,0.0,-,6,40,23.78,323
8,WU210115C00035000,2020-02-19 10:04AM EST,35.0,0.25,0.0,0.15,0.0,-,2,0,24.61,323
0,WU220121C00013000,2020-02-18 12:01AM EST,13.0,13.16,10.7,11.3,0.0,-,2,0,30.91,694
1,WU220121C00020000,2020-02-19 11:11AM EST,20.0,6.39,4.7,5.4,0.0,-,2,0,24.41,694
2,WU220121C00022000,2020-02-25 10:31AM EST,22.0,4.2,3.5,4.0,0.0,-,32,580,22.63,694
3,WU220121C00025000,2020-02-12 1:44PM EST,25.0,3.6,2.0,2.65,0.0,-,1,0,23.05,694
4,WU220121C00027000,2019-12-16 10:35AM EST,27.0,3.46,3.2,3.6,0.0,-,4,0,35.47,694
5,WU220121C00030000,2020-02-12 3:57PM EST,30.0,1.69,0.85,1.35,0.0,-,155,172,24.12,694
6,WU220121C00035000,2020-02-14 2:06PM EST,35.0,0.45,0.3,0.75,0.0,-,100,0,25.57,694
