,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,WYNN200228P00095000,2020-02-26 1:33PM EST,95.0,0.13,0.16,0.18,-0.03,-18.75%,69,0,101.95,1
1,WYNN200228P00100000,2020-02-26 1:58PM EST,100.0,0.32,0.35,0.39,-0.02,-5.88%,481,0,89.06,1
2,WYNN200228P00101000,2020-02-25 3:51PM EST,101.0,0.39,0.1,0.14,0.0,-,-,-,63.87,1
3,WYNN200228P00102000,2020-02-26 10:11AM EST,102.0,0.18,0.03,0.15,-0.31,-63.27%,10,-,55.27,1
4,WYNN200228P00103000,2020-02-26 10:19AM EST,103.0,0.17,0.09,0.15,-0.43,-71.67%,45,-,53.13,1
5,WYNN200228P00104000,2020-02-25 2:41PM EST,104.0,0.8,0.07,0.19,0.0,-,-,-,53.13,1
6,WYNN200228P00105000,2020-02-26 2:18PM EST,105.0,0.91,0.89,0.95,0.18,+24.66%,186,689,79.1,1
7,WYNN200228P00106000,2020-02-25 2:36PM EST,106.0,0.89,0.22,0.27,0.0,-,-,-,45.8,1
8,WYNN200228P00107000,2020-02-25 3:55PM EST,107.0,1.05,0.27,0.31,0.0,-,-,-,41.11,1
9,WYNN200228P00108000,2020-02-26 1:42PM EST,108.0,1.34,1.61,1.62,0.26,+24.07%,1605,0,74.8,1
10,WYNN200228P00109000,2020-02-26 2:11PM EST,109.0,1.83,1.77,1.88,0.32,+21.19%,93,36,70.61,1
11,WYNN200228P00110000,2020-02-26 2:17PM EST,110.0,2.33,2.15,2.22,0.58,+33.14%,402,503,69.24,1
12,WYNN200228P00111000,2020-02-26 1:54PM EST,111.0,2.69,2.65,2.68,0.81,+43.09%,676,157,69.48,1
13,WYNN200228P00112000,2020-02-26 1:51PM EST,112.0,2.79,3.05,3.25,0.3,+12.05%,221,305,68.46,1
14,WYNN200228P00113000,2020-02-26 1:40PM EST,113.0,3.45,3.75,3.8,0.85,+32.69%,1085,863,69.53,1
15,WYNN200228P00114000,2020-02-26 2:13PM EST,114.0,4.13,4.2,4.4,0.89,+27.47%,1481,125,66.6,1
16,WYNN200228P00115000,2020-02-26 2:16PM EST,115.0,5.1,5.0,5.2,1.5,+41.67%,1461,373,69.63,1
17,WYNN200228P00116000,2020-02-26 1:42PM EST,116.0,5.35,5.75,5.6,1.15,+27.38%,208,0,64.75,1
18,WYNN200228P00117000,2020-02-26 2:07PM EST,117.0,6.4,6.5,6.9,1.6,+33.33%,203,232,72.56,1
19,WYNN200228P00118000,2020-02-26 1:32PM EST,118.0,5.85,7.6,7.7,0.8,+15.84%,65,0,77.64,1
20,WYNN200228P00119000,2020-02-26 1:08PM EST,119.0,7.75,8.6,8.65,2.0,+34.78%,592,760,83.2,1
21,WYNN200228P00120000,2020-02-26 2:02PM EST,120.0,9.05,9.2,9.5,2.05,+29.29%,868,1029,78.61,1
22,WYNN200228P00121000,2020-02-26 1:13PM EST,121.0,10.15,10.1,10.35,3.05,+42.96%,160,0,78.61,1
23,WYNN200228P00122000,2020-02-26 2:12PM EST,122.0,11.15,11.05,11.5,3.35,+42.95%,151,475,86.33,1
24,WYNN200228P00123000,2020-02-26 1:31PM EST,123.0,12.19,12.25,12.3,2.69,+28.32%,134,1952,91.6,1
25,WYNN200228P00124000,2020-02-26 12:19PM EST,124.0,8.95,13.3,13.25,-0.61,-6.38%,103,1877,96.68,1
26,WYNN200228P00125000,2020-02-26 1:15PM EST,125.0,11.19,14.25,14.4,1.09,+10.79%,17,489,104.3,1
27,WYNN200228P00126000,2020-02-26 12:53PM EST,126.0,11.77,14.95,15.3,0.14,+1.20%,136,0,98.05,1
