,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,WY200228P00026000,2020-02-05 1:45PM EST,26.0,0.05,0.0,0.1,0.0,-,1,0,55.47,1
1,WY200228P00026500,2020-02-04 1:37PM EST,26.5,0.15,0.1,0.2,0.0,-,-,0,62.11,1
2,WY200228P00027000,2020-02-25 12:44PM EST,27.0,0.05,0.05,0.2,0.0,-,-,-,53.71,1
3,WY200228P00027500,2020-02-26 2:21PM EST,27.5,0.2,0.2,0.25,0.1,+100.00%,1214,0,41.99,1
4,WY200228P00028000,2020-02-25 3:41PM EST,28.0,0.4,0.4,0.55,0.0,-,56,0,49.22,1
5,WY200228P00028500,2020-02-24 12:58PM EST,28.5,0.2,0.7,0.9,0.0,-,12,0,53.71,1
6,WY200228P00029000,2020-02-19 12:50PM EST,29.0,0.9,1.1,1.35,0.55,+157.14%,1,0,64.06,1
7,WY200228P00029500,2020-02-24 10:19AM EST,29.5,0.25,1.4,2.0,0.0,-,5,0,55.86,1
8,WY200228P00030000,2020-02-19 10:49AM EST,30.0,0.15,2.1,2.45,0.0,-,15,0,80.08,1
9,WY200228P00030500,2020-02-25 12:14PM EST,30.5,1.6,2.5,3.0,0.0,-,6,0,87.11,1
10,WY200228P00031000,2020-02-18 11:38AM EST,31.0,2.75,3.1,3.3,1.6,+139.13%,6,0,87.5,1
0,WY200306P00026000,2020-02-25 1:40PM EST,26.0,0.15,0.15,0.25,0.0,-,-,-,50.49,8
1,WY200306P00026500,2020-02-03 3:50PM EST,26.5,0.25,0.25,0.35,0.0,-,-,3,48.93,8
2,WY200306P00027000,2020-02-18 11:17AM EST,27.0,0.15,0.4,0.5,0.0,-,1,0,48.44,8
3,WY200306P00027500,2020-02-25 3:47PM EST,27.5,0.6,0.6,0.7,0.0,-,2,0,48.44,8
4,WY200306P00028000,2020-02-12 12:00PM EST,28.0,0.2,0.8,1.0,0.0,-,1,0,51.47,8
5,WY200306P00028500,2020-02-21 1:21PM EST,28.5,0.1,0.85,1.35,0.0,-,1,0,54.88,8
6,WY200306P00029000,2020-02-25 12:12PM EST,29.0,1.34,1.55,1.75,0.49,+57.65%,9,5,53.52,8
7,WY200306P00029500,2020-02-24 12:49PM EST,29.5,0.7,1.65,2.2,0.0,-,4,0,65.43,8
8,WY200306P00030000,2020-02-24 10:42AM EST,30.0,0.8,2.1,2.75,0.0,-,1,5,55.47,8
9,WY200306P00030500,2020-02-25 9:37AM EST,30.5,2.25,2.75,3.2,0.95,+73.08%,2,0,66.21,8
0,WY200313P00026000,2020-02-12 12:15PM EST,26.0,0.08,0.25,0.35,0.0,-,-,0,44.63,15
1,WY200313P00028000,2020-02-25 2:09PM EST,28.0,0.85,0.95,1.1,0.0,-,28,29,43.65,15
2,WY200313P00028500,2020-02-24 9:36AM EST,28.5,0.3,0.95,1.15,0.0,-,-,-,33.59,15
3,WY200313P00029000,2020-02-26 10:57AM EST,29.0,1.25,1.6,1.75,0.3,+31.58%,250,1000,45.51,15
4,WY200313P00029500,2020-02-25 10:02AM EST,29.5,1.85,2.0,2.25,1.0,+117.65%,2,0,52.49,15
5,WY200313P00030000,2020-02-25 2:54PM EST,30.0,2.15,2.3,2.95,0.0,-,13,14,52.93,15
6,WY200313P00030500,2020-02-19 5:21PM EST,30.5,0.8,2.7,3.4,0.0,-,-,0,54.88,15
0,WY200320P00026000,2020-02-25 12:58PM EST,26.0,0.25,0.35,0.45,0.0,-,1,0,42.19,22
1,WY200320P00026500,2020-02-25 1:31PM EST,26.5,0.35,0.35,0.45,0.0,-,-,-,35.84,22
2,WY200320P00027000,2020-02-25 2:41PM EST,27.0,0.62,0.6,0.7,0.0,-,24,0,38.87,22
3,WY200320P00027500,2020-02-25 12:37PM EST,27.5,0.5,0.8,0.95,0.0,-,1,1,40.23,22
4,WY200320P00028000,2020-02-26 11:40AM EST,28.0,0.77,1.0,1.2,0.12,+18.46%,1,60,40.23,22
5,WY200320P00028500,2020-02-25 2:50PM EST,28.5,1.2,1.4,1.5,0.0,-,11,71,40.77,22
6,WY200320P00029000,2020-02-24 2:41PM EST,29.0,1.55,1.65,1.85,0.3,+24.00%,1,0,41.99,22
7,WY200320P00029500,2020-02-25 9:30AM EST,29.5,0.83,1.7,1.9,0.0,-,-,-,29.88,22
8,WY200320P00030000,2020-02-26 12:54PM EST,30.0,2.15,2.5,2.65,0.02,+0.94%,5,1775,45.56,22
9,WY200320P00030500,2020-02-25 2:50PM EST,30.5,2.75,2.8,3.5,0.0,-,2,2,50.49,22
10,WY200320P00031000,2020-02-21 10:38AM EST,31.0,3.5,3.4,3.8,0.0,-,2,0,52.93,22
0,WY200327P00026000,2020-02-19 10:08AM EST,26.0,0.02,0.35,0.55,0.0,-,-,0,40.97,29
1,WY200327P00026500,2020-02-18 12:04AM EST,26.5,0.2,0.45,0.65,0.0,-,-,0,38.77,29
2,WY200327P00028000,2020-02-24 2:22PM EST,28.0,0.42,1.1,1.3,0.0,-,-,100,38.48,29
3,WY200327P00028500,2020-02-19 10:08AM EST,28.5,1.45,1.4,1.6,1.25,+625.00%,6,2,38.97,29
4,WY200327P00029000,2020-02-18 12:04AM EST,29.0,0.4,1.45,2.0,0.0,-,-,0,41.8,29
5,WY200327P00029500,2020-02-18 10:39AM EST,29.5,0.65,2.0,2.45,0.0,-,-,0,45.51,29
6,WY200327P00030000,2020-02-25 3:03PM EST,30.0,2.17,2.5,2.75,0.0,-,6,0,43.65,29
7,WY200327P00030500,2020-02-25 2:54PM EST,30.5,2.65,2.55,2.75,0.0,-,-,-,27.15,29
0,WY200403P00025000,2020-02-18 11:44AM EST,25.0,0.15,0.3,0.4,0.0,-,5,0,41.11,36
1,WY200403P00025500,2020-02-25 10:24AM EST,25.5,0.2,0.3,0.5,0.0,-,53,0,40.23,36
2,WY200403P00026000,2020-02-24 12:30PM EST,26.0,0.15,0.35,0.5,0.0,-,-,-,35.25,36
3,WY200403P00027500,2020-02-25 6:54PM EST,27.5,0.55,1.0,1.1,0.0,-,-,1,36.23,36
4,WY200403P00028500,2020-02-18 11:44AM EST,28.5,0.48,1.5,1.6,0.0,-,-,5,35.21,36
5,WY200403P00031000,2020-02-25 2:54PM EST,31.0,3.1,3.0,3.2,0.0,-,-,-,24.61,36
0,WY200417P00017000,2019-11-06 1:39PM EST,17.0,0.11,0.0,0.45,0.0,-,20,90,89.06,50
1,WY200417P00019000,2019-11-18 12:10AM EST,19.0,0.15,0.0,0.4,0.0,-,-,15,70.31,50
2,WY200417P00020000,2019-12-31 2:15PM EST,20.0,0.05,0.0,0.1,0.0,-,-,6,53.71,50
3,WY200417P00021000,2019-08-19 1:21PM EST,21.0,0.84,0.3,0.5,0.0,-,-,6,67.09,50
4,WY200417P00022000,2020-02-26 11:19AM EST,22.0,0.14,0.05,0.25,-0.07,-33.33%,4,0,51.07,50
5,WY200417P00023000,2020-02-12 12:26PM EST,23.0,0.1,0.15,0.3,0.0,-,1,0,46.29,50
6,WY200417P00024000,2020-01-21 1:33PM EST,24.0,0.1,0.05,0.0,0.0,-,5,0,12.5,50
7,WY200417P00025000,2020-02-14 9:39AM EST,25.0,0.1,0.3,0.45,0.0,-,4,0,36.87,50
8,WY200417P00026000,2020-02-12 10:47AM EST,26.0,0.15,0.5,0.7,0.0,-,30,257,35.94,50
9,WY200417P00027000,2020-02-24 12:08PM EST,27.0,0.65,0.85,0.95,0.0,-,7,0,32.76,50
10,WY200417P00028000,2020-02-25 3:36PM EST,28.0,1.3,1.25,1.45,0.0,-,44,336,33.3,50
11,WY200417P00029000,2020-02-25 3:49PM EST,29.0,1.65,1.85,2.05,-0.1,-5.71%,35,339,33.5,50
12,WY200417P00030000,2020-02-25 1:31PM EST,30.0,2.3,2.65,2.8,0.1,+4.55%,2,333,35.06,50
13,WY200417P00031000,2020-02-20 3:35PM EST,31.0,1.2,3.3,4.0,0.0,-,63,452,47.36,50
14,WY200417P00032000,2020-02-26 11:44AM EST,32.0,3.9,4.5,4.7,0.6,+18.18%,3,38,44.97,50
15,WY200417P00033000,2020-02-25 3:53PM EST,33.0,5.2,5.1,5.9,0.0,-,7,19,56.74,50
16,WY200417P00035000,2020-02-25 12:37PM EST,35.0,6.59,6.8,7.1,0.0,-,-,-,12.5,50
0,WY200717P00021000,2020-02-24 10:29AM EST,21.0,0.2,0.2,0.35,0.0,-,58,0,38.87,141
1,WY200717P00022000,2019-12-16 12:02AM EST,22.0,0.35,0.0,0.3,0.0,-,-,0,32.47,141
2,WY200717P00023000,2020-02-19 10:24AM EST,23.0,0.2,0.4,0.55,0.0,-,-,3,34.42,141
3,WY200717P00024000,2020-02-11 11:37AM EST,24.0,0.35,0.55,0.75,0.0,-,20,0,33.5,141
4,WY200717P00025000,2020-02-06 11:33AM EST,25.0,0.65,0.8,0.95,0.1,+18.18%,4,0,31.69,141
5,WY200717P00026000,2020-02-25 2:53PM EST,26.0,1.03,1.05,1.25,0.0,-,5,26,30.71,141
6,WY200717P00027000,2020-02-26 12:55PM EST,27.0,1.35,1.45,1.65,0.5,+58.82%,65,241,30.23,141
7,WY200717P00028000,2020-02-25 1:43PM EST,28.0,1.8,1.9,2.15,0.0,-,1,0,30.13,141
8,WY200717P00029000,2020-02-19 11:16AM EST,29.0,1.2,2.45,2.7,0.0,-,1,0,29.69,141
9,WY200717P00030000,2020-02-20 3:37PM EST,30.0,1.36,3.1,3.4,0.0,-,8,95,30.4,141
10,WY200717P00031000,2020-02-18 1:11PM EST,31.0,2.35,4.0,4.2,0.0,-,185,242,31.76,141
11,WY200717P00032000,2020-02-21 10:14AM EST,32.0,2.66,4.8,5.0,0.0,-,10,23,32.42,141
12,WY200717P00033000,2020-02-26 11:19AM EST,33.0,5.3,5.4,6.0,1.63,+44.41%,6,0,35.99,141
13,WY200717P00035000,2020-02-06 2:52PM EST,35.0,6.7,6.8,8.7,0.0,-,-,14,54.47,141
0,WY201016P00027000,2020-02-24 3:36PM EST,27.0,1.3,2.05,2.25,0.0,-,-,18,30.62,232
1,WY201016P00028000,2020-02-25 10:34AM EST,28.0,1.97,2.55,2.75,0.0,-,20,0,30.32,232
0,WY210115P00015000,2020-01-17 3:39PM EST,15.0,0.2,0.05,0.55,0.0,-,1,148,53.96,323
1,WY210115P00018000,2020-02-07 10:52AM EST,18.0,0.34,0.4,0.55,0.0,-,13,359,41.02,323
2,WY210115P00020000,2020-02-24 10:52AM EST,20.0,0.45,0.45,0.75,0.0,-,5,0,37.13,323
3,WY210115P00023000,2020-02-25 1:58PM EST,23.0,1.0,1.05,1.3,0.0,-,20,607,33.28,323
4,WY210115P00025000,2020-02-21 2:59PM EST,25.0,0.95,1.65,1.85,0.0,-,9,0,31.14,323
5,WY210115P00028000,2020-02-20 1:11PM EST,28.0,2.75,3.0,3.3,1.1,+66.67%,1,0,31.01,323
6,WY210115P00030000,2020-02-24 2:48PM EST,30.0,4.1,4.2,4.5,0.0,-,3,0,30.84,323
7,WY210115P00032000,2020-02-26 11:52AM EST,32.0,5.39,5.7,6.0,1.89,+54.00%,2,116,31.97,323
9,WY210115P00037000,2020-02-12 10:41AM EST,37.0,8.1,9.7,10.7,0.0,-,2,19,40.26,323
10,WY210115P00040000,2019-06-16 11:10PM EST,40.0,13.5,14.4,15.7,0.0,-,0,0,60.12,323
11,WY210115P00050000,2019-06-16 11:10PM EST,50.0,21.41,22.7,26.8,0.0,-,0,2,72.0,323
