,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,XEC200320C00025000,2019-09-03 2:06PM EST,25.0,17.25,19.0,22.2,0.0,-,-,3,554.3,22
1,XEC200320C00030000,2019-10-31 10:43AM EST,30.0,12.5,16.1,17.0,0.0,-,2,4,456.4,22
2,XEC200320C00035000,2020-02-25 3:24PM EST,35.0,3.1,1.8,1.95,0.0,-,29,0,60.11,22
3,XEC200320C00040000,2020-02-26 11:55AM EST,40.0,0.67,0.4,0.6,-0.33,-33.00%,3772,0,59.86,22
4,XEC200320C00045000,2020-02-26 12:27PM EST,45.0,0.15,0.05,0.15,-0.05,-25.00%,2,0,59.77,22
5,XEC200320C00050000,2020-02-25 9:56AM EST,50.0,0.07,0.0,0.1,0.0,-,22,589,69.53,22
6,XEC200320C00055000,2020-02-18 10:23AM EST,55.0,0.03,0.0,0.15,0.0,-,20,0,89.26,22
7,XEC200320C00060000,2020-02-19 11:04AM EST,60.0,0.05,0.0,0.05,0.0,-,10,2236,89.06,22
8,XEC200320C00065000,2020-02-18 11:45AM EST,65.0,0.04,0.0,0.05,0.0,-,4,0,99.22,22
9,XEC200320C00070000,2020-01-31 10:37AM EST,70.0,0.1,0.0,0.15,0.0,-,744,0,125.39,22
0,XEC200619C00035000,2020-02-26 11:47AM EST,35.0,4.3,3.6,3.9,-2.31,-34.95%,29,22,51.86,113
1,XEC200619C00040000,2020-02-26 2:19PM EST,40.0,2.0,1.9,2.05,-0.64,-24.24%,249,118,50.37,113
2,XEC200619C00045000,2020-02-25 12:18PM EST,45.0,1.3,0.85,1.05,0.0,-,48,0,50.85,113
3,XEC200619C00050000,2020-02-25 10:45AM EST,50.0,0.75,0.4,0.55,0.0,-,2,425,51.37,113
4,XEC200619C00055000,2020-02-25 12:04PM EST,55.0,0.35,0.15,0.3,0.0,-,122,63,52.34,113
5,XEC200619C00060000,2020-02-20 2:15PM EST,60.0,0.51,0.0,0.2,0.0,-,5,0,54.98,113
6,XEC200619C00065000,2020-02-26 10:59AM EST,65.0,0.15,0.0,0.25,0.05,+50.00%,120,1017,56.45,113
0,XEC200918C00035000,2020-02-25 10:23AM EST,35.0,6.7,4.40,5.0,0.0,-,1,21,50.95,204
1,XEC200918C00040000,2020-02-19 10:05AM EST,40.0,5.3,2.60,3.1,0.0,-,-,4,49.02,204
2,XEC200918C00045000,2020-02-24 10:40AM EST,45.0,3.0,1.45,1.8,0.0,-,3,10,47.14,204
3,XEC200918C00050000,2020-02-25 12:02PM EST,50.0,1.25,0.75,1.0,0.0,-,8,0,45.73,204
4,XEC200918C00055000,2020-02-20 12:43PM EST,55.0,2.0,0.35,0.6,0.0,-,10,12,45.92,204
5,XEC200918C00060000,2020-02-10 11:55AM EST,60.0,0.3,0.15,0.35,-0.43,-58.90%,1,0,45.8,204
6,XEC200918C00065000,2020-02-03 3:13PM EST,65.0,0.3,0.05,0.25,0.0,-,10,0,47.46,204
7,XEC200918C00070000,2020-02-24 12:21PM EST,70.0,0.15,-,0.25,0.0,-,-,-,51.66,204
8,XEC200918C00075000,2020-02-25 12:03PM EST,75.0,0.15,0.00,0.15,0.0,-,847,0,50.98,204
0,XEC210115C00020000,2019-08-30 2:57PM EST,20.0,24.0,25.0,26.7,0.0,-,5,0,204.59,323
1,XEC210115C00035000,2020-02-19 12:54PM EST,35.0,6.0,5.8,6.2,-3.6,-37.50%,7,0,49.95,323
2,XEC210115C00040000,2020-02-25 12:46PM EST,40.0,4.25,3.9,4.3,-0.85,-16.67%,1,242,48.4,323
3,XEC210115C00045000,2020-02-24 1:12PM EST,45.0,3.8,2.55,2.85,0.0,-,1,225,46.62,323
4,XEC210115C00050000,2020-02-26 1:58PM EST,50.0,1.77,1.6,1.95,-1.25,-41.39%,1,3053,46.24,323
5,XEC210115C00055000,2020-02-25 3:22PM EST,55.0,1.55,1.0,1.2,0.0,-,15,0,44.47,323
6,XEC210115C00060000,2020-02-26 11:29AM EST,60.0,0.82,0.6,0.85,-0.14,-14.58%,151,0,44.95,323
7,XEC210115C00065000,2020-02-03 3:12PM EST,65.0,1.1,0.35,0.6,0.0,-,7,1104,45.24,323
8,XEC210115C00070000,2020-02-25 1:04PM EST,70.0,0.5,0.2,0.4,0.0,-,1,709,44.92,323
9,XEC210115C00075000,2019-12-10 3:15PM EST,75.0,1.86,2.4,2.65,0.0,-,5,0,76.53,323
10,XEC210115C00080000,2020-02-25 12:59PM EST,80.0,0.2,0.1,0.45,0.0,-,10,106,52.2,323
11,XEC210115C00085000,2020-02-25 3:20PM EST,85.0,0.15,0.0,0.2,0.0,-,2,15,47.75,323
12,XEC210115C00090000,2020-01-31 3:40PM EST,90.0,0.25,0.0,0.25,0.0,-,1,0,51.86,323
13,XEC210115C00095000,2020-01-23 9:31AM EST,95.0,0.2,0.05,0.25,0.0,-,1,312,50.1,323
14,XEC210115C00100000,2020-02-10 1:44PM EST,100.0,0.1,0.0,0.25,0.0,-,10,184,50.78,323
15,XEC210115C00105000,2019-09-17 8:42AM EST,105.0,0.7,0.05,0.65,0.0,-,100,0,61.38,323
16,XEC210115C00110000,2019-07-05 10:16AM EST,110.0,1.25,0.0,0.0,0.0,-,1,0,25.0,323
17,XEC210115C00115000,2019-06-24 2:59PM EST,115.0,0.7,0.05,0.65,0.0,-,2,4,65.09,323
18,XEC210115C00120000,2019-12-17 1:43PM EST,120.0,0.1,0.0,0.35,0.0,-,20,0,60.25,323
19,XEC210115C00125000,2019-11-05 9:36AM EST,125.0,0.25,0.0,0.35,0.0,-,2,16,61.72,323
20,XEC210115C00130000,2019-06-16 11:01PM EST,130.0,2.4,0.0,0.65,0.0,-,0,5,69.19,323
21,XEC210115C00135000,2019-06-16 11:01PM EST,135.0,1.46,0.05,0.55,0.0,-,0,11,69.82,323
22,XEC210115C00140000,2020-02-20 9:33AM EST,140.0,0.05,0.0,0.1,0.0,-,3,0,56.84,323
0,XEC220121C00022500,2020-01-13 9:49AM EST,22.5,31.3,18.0,19.5,0.0,-,1,2,80.47,694
1,XEC220121C00025000,2020-01-03 9:32AM EST,25.0,29.7,18.1,22.4,0.0,-,-,1,100.15,694
2,XEC220121C00030000,2020-01-09 10:15AM EST,30.0,25.6,16.2,17.6,0.0,-,1,0,87.16,694
3,XEC220121C00035000,2020-02-24 11:41AM EST,35.0,11.1,7.6,9.7,0.0,-,-,-,53.3,694
4,XEC220121C00040000,2020-02-13 10:22AM EST,40.0,9.5,5.8,7.2,0.0,-,2,6,48.38,694
5,XEC220121C00045000,2020-02-24 2:42PM EST,45.0,7.49,3.5,5.8,0.0,-,10,45,47.83,694
6,XEC220121C00050000,2020-01-09 10:21AM EST,50.0,13.0,7.0,8.2,0.0,-,4,20,62.9,694
