,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,XEL200320C00040000,2020-01-16 11:56AM EST,40.0,25.05,29.9,32.8,0.0,-,1,0,214.94,22
2,XEL200320C00055000,2020-02-11 11:45AM EST,55.0,14.37,13.4,16.4,0.0,-,1,0,82.81,22
3,XEL200320C00060000,2020-02-14 3:41PM EST,60.0,10.4,8.6,9.6,0.0,-,10,563,52.05,22
4,XEL200320C00065000,2020-02-25 9:57AM EST,65.0,5.48,3.9,4.2,0.0,-,4,1343,21.24,22
5,XEL200320C00070000,2020-02-26 11:31AM EST,70.0,0.7,0.55,0.7,-0.15,-17.65%,26,273,16.24,22
6,XEL200320C00075000,2020-02-26 11:46AM EST,75.0,0.05,0.0,0.05,0.0,-,12,2032,18.36,22
7,XEL200320C00080000,2020-02-24 11:40AM EST,80.0,0.03,0.0,0.05,0.0,-,3,443,29.3,22
0,XEL200417C00075000,2020-02-24 11:56AM EST,75.0,0.35,0.1,0.2,0.0,-,-,-,16.9,50
0,XEL200619C00035000,2020-01-15 2:01PM EST,35.0,29.6,34.7,37.2,0.0,-,1,0,109.72,113
1,XEL200619C00050000,2020-01-30 12:51PM EST,50.0,20.9,18.4,21.4,0.0,-,-,0,67.82,113
3,XEL200619C00060000,2020-02-18 2:28PM EST,60.0,12.0,8.8,10.2,0.0,-,5,0,30.15,113
4,XEL200619C00065000,2020-02-24 9:34AM EST,65.0,5.17,4.9,5.2,-0.73,-12.37%,4,0,18.68,113
5,XEL200619C00070000,2020-02-26 9:56AM EST,70.0,2.13,1.95,2.15,-0.37,-14.80%,11,0,17.02,113
6,XEL200619C00075000,2020-02-24 12:16PM EST,75.0,0.6,0.55,0.65,-0.25,-29.41%,5,724,16.43,113
7,XEL200619C00080000,2020-02-25 11:13AM EST,80.0,0.2,0.05,0.25,0.0,-,83,0,18.29,113
8,XEL200619C00090000,2020-02-18 12:04PM EST,90.0,0.4,0.0,0.35,0.0,-,10,0,30.57,113
0,XEL200918C00055000,2020-02-18 1:31PM EST,55.0,17.8,11.7,16.4,0.0,-,1,0,40.39,204
1,XEL200918C00060000,2020-02-19 10:00AM EST,60.0,11.51,9.3,10.1,0.0,-,-,0,21.78,204
2,XEL200918C00065000,2020-02-03 2:58PM EST,65.0,6.09,5.6,5.9,0.0,-,-,0,17.9,204
3,XEL200918C00070000,2020-02-14 2:53PM EST,70.0,3.7,2.7,2.95,0.0,-,4,0,16.59,204
4,XEL200918C00075000,2020-02-20 11:55AM EST,75.0,1.6,0.95,1.2,0.0,-,8,0,15.81,204
5,XEL200918C00080000,2020-02-25 11:40AM EST,80.0,0.35,0.2,0.45,0.0,-,5,129,15.87,204
6,XEL200918C00085000,2020-02-18 1:31PM EST,85.0,0.25,0.0,0.15,0.0,-,3,3,15.97,204
0,XEL201016C00055000,2020-02-14 9:41AM EST,55.0,15.27,13.6,15.4,0.0,-,1,0,30.66,232
1,XEL201016C00060000,2020-02-05 2:29PM EST,60.0,10.05,9.6,10.0,0.0,-,1,8,19.73,232
2,XEL201016C00065000,2020-02-19 10:28AM EST,65.0,7.3,5.7,6.3,0.0,-,25,210,18.84,232
3,XEL201016C00070000,2020-02-26 10:22AM EST,70.0,3.13,2.85,3.2,0.09,+2.96%,2,151,16.7,232
4,XEL201016C00075000,2020-02-26 10:22AM EST,75.0,1.25,1.1,1.35,-0.7,-35.90%,10,101,15.66,232
5,XEL201016C00080000,2020-02-21 1:02PM EST,80.0,0.69,0.3,0.5,0.0,-,16,0,15.35,232
