,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,XEL200320P00045000,2019-07-25 2:59PM EST,45.0,0.3,0.0,0.65,0.0,-,-,5,102.83,22
1,XEL200320P00050000,2019-11-29 11:51AM EST,50.0,0.25,0.0,2.35,0.0,-,1,0,114.06,22
2,XEL200320P00055000,2020-02-24 1:17PM EST,55.0,0.1,0.0,0.2,0.0,-,98,354,54.98,22
3,XEL200320P00060000,2020-02-26 9:37AM EST,60.0,0.1,0.0,0.1,0.01,+11.11%,1,0,32.13,22
4,XEL200320P00065000,2020-02-26 10:35AM EST,65.0,0.25,0.25,0.4,0.0,-,1,366,24.61,22
5,XEL200320P00070000,2020-02-25 3:02PM EST,70.0,1.95,2.05,2.2,0.15,+8.33%,4,133,22.73,22
6,XEL200320P00075000,2020-02-24 12:30PM EST,75.0,4.8,6.1,7.1,0.0,-,7,7,43.48,22
0,XEL200417P00065000,2020-02-25 6:46PM EST,65.0,0.45,0.35,1.65,0.0,-,-,-,32.23,50
0,XEL200619P00035000,2019-10-28 2:17PM EST,35.0,0.15,0.05,0.55,0.0,-,-,5,68.85,113
1,XEL200619P00045000,2019-11-04 9:37AM EST,45.0,0.4,0.05,0.4,0.0,-,1,1,49.07,113
2,XEL200619P00050000,2020-02-19 9:58AM EST,50.0,0.05,0.0,0.15,0.0,-,585,654,31.84,113
3,XEL200619P00055000,2020-02-18 2:23PM EST,55.0,0.15,0.15,0.25,0.0,-,400,0,26.37,113
4,XEL200619P00060000,2020-01-30 11:36AM EST,60.0,0.5,0.5,0.6,0.0,-,10,0,23.05,113
5,XEL200619P00065000,2020-02-26 1:02PM EST,65.0,1.35,1.4,1.55,0.3,+28.57%,5,101,20.92,113
6,XEL200619P00070000,2020-02-25 2:20PM EST,70.0,3.33,3.4,3.7,0.0,-,1,115,20.22,113
7,XEL200619P00075000,2020-02-06 10:40AM EST,75.0,6.75,6.7,7.6,0.0,-,-,0,23.82,113
8,XEL200619P00080000,2020-02-03 12:01AM EST,80.0,11.01,11.0,12.3,0.0,-,-,0,29.57,113
0,XEL200918P00060000,2020-02-21 3:16PM EST,60.0,0.7,1.05,1.25,0.0,-,30,0,22.47,204
1,XEL200918P00065000,2020-02-20 1:25PM EST,65.0,1.7,2.15,2.45,0.0,-,15,0,20.58,204
2,XEL200918P00075000,2020-01-23 11:34AM EST,75.0,9.39,5.9,6.5,0.0,-,-,0,10.74,204
0,XEL201016P00050000,2020-02-04 10:38AM EST,50.0,0.3,0.25,0.4,0.0,-,2,0,27.3,232
1,XEL201016P00055000,2020-02-24 1:21PM EST,55.0,0.5,0.6,0.8,0.0,-,5,0,25.04,232
2,XEL201016P00060000,2020-02-18 3:36PM EST,60.0,0.81,1.2,1.45,0.0,-,10,0,22.43,232
3,XEL201016P00065000,2020-02-21 2:37PM EST,65.0,1.65,2.4,2.7,0.0,-,10,0,20.57,232
4,XEL201016P00070000,2020-02-25 2:58PM EST,70.0,4.51,4.5,4.9,0.0,-,3,0,19.63,232
