,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,XLNX200228P00070000,2020-02-25 11:01AM EST,70.0,0.03,0.0,0.05,0.0,-,4,20,82.81,1
1,XLNX200228P00075000,2020-02-26 1:13PM EST,75.0,0.07,0.07,0.11,-0.08,-53.33%,10,0,65.63,1
2,XLNX200228P00077000,2020-02-26 10:05AM EST,77.0,0.12,0.15,0.17,-0.01,-7.69%,1,14,58.59,1
3,XLNX200228P00078000,2020-02-24 11:26AM EST,78.0,0.4,0.2,0.24,0.0,-,2,16,55.27,1
4,XLNX200228P00079000,2020-02-25 2:33PM EST,79.0,0.16,0.29,0.34,-0.34,-68.00%,1,0,52.54,1
5,XLNX200228P00080000,2020-02-24 3:09PM EST,80.0,0.41,0.44,0.49,-0.19,-31.67%,12,0,50.39,1
6,XLNX200228P00081000,2020-02-26 1:46PM EST,81.0,0.8,0.69,0.75,0.08,+11.11%,30,50,50.98,1
7,XLNX200228P00081500,2020-02-26 2:00PM EST,81.5,0.82,0.8,0.85,-0.21,-20.39%,125,47,48.44,1
8,XLNX200228P00082000,2020-02-26 2:00PM EST,82.0,1.08,0.98,1.04,0.16,+17.39%,163,103,48.34,1
9,XLNX200228P00082500,2020-02-26 2:00PM EST,82.5,1.44,1.18,1.26,0.25,+21.01%,184,243,48.34,1
10,XLNX200228P00083000,2020-02-25 3:15PM EST,83.0,1.23,1.43,1.54,0.0,-,36,0,49.51,1
11,XLNX200228P00083500,2020-02-26 2:09PM EST,83.5,1.68,1.69,1.76,0.22,+15.07%,97,0,47.66,1
12,XLNX200228P00084000,2020-02-26 11:53AM EST,84.0,1.59,1.96,2.05,-0.1,-5.92%,51,0,47.27,1
13,XLNX200228P00085000,2020-02-26 11:54AM EST,85.0,1.97,2.75,2.86,-0.52,-20.88%,19,0,50.2,1
14,XLNX200228P00086000,2020-02-26 10:26AM EST,86.0,2.1,3.45,3.55,-1.05,-33.33%,2,177,49.51,1
15,XLNX200228P00086500,2020-02-25 3:29PM EST,86.5,3.6,3.85,4.0,0.15,+4.35%,2,0,51.66,1
16,XLNX200228P00087000,2020-02-25 2:07PM EST,87.0,2.89,4.35,4.5,-1.01,-25.90%,15,0,51.86,1
17,XLNX200228P00087500,2020-02-25 2:26PM EST,87.5,4.04,4.75,4.9,0.0,-,67,0,54.39,1
18,XLNX200228P00088000,2020-02-25 3:08PM EST,88.0,3.65,5.3,5.25,-0.6,-14.12%,3,0,47.66,1
19,XLNX200228P00088500,2020-02-25 2:27PM EST,88.5,4.95,5.7,5.9,0.0,-,116,177,55.08,1
20,XLNX200228P00089000,2020-02-25 2:32PM EST,89.0,5.7,6.15,6.35,0.0,-,1429,0,54.3,1
21,XLNX200228P00090000,2020-02-24 3:50PM EST,90.0,5.55,7.1,7.35,-0.95,-14.62%,5,0,58.01,1
22,XLNX200228P00091000,2020-02-26 9:46AM EST,91.0,6.35,8.15,8.3,-1.55,-19.62%,16,0,64.06,1
23,XLNX200228P00092000,2020-02-25 2:19PM EST,92.0,8.99,9.25,9.35,0.09,+1.01%,29,643,77.93,1
24,XLNX200228P00093000,2020-02-25 2:17PM EST,93.0,9.93,10.1,10.2,0.0,-,1306,0,62.89,1
25,XLNX200228P00093500,2020-02-25 2:21PM EST,93.5,10.55,10.6,10.85,0.0,-,1200,1201,78.32,1
26,XLNX200228P00094000,2020-02-20 12:27PM EST,94.0,9.3,10.75,11.8,0.0,-,2,0,87.11,1
27,XLNX200228P00094500,2020-02-20 1:14PM EST,94.5,10.1,11.2,12.25,0.0,-,1,0,83.79,1
28,XLNX200228P00095000,2020-02-24 12:36PM EST,95.0,9.7,11.75,12.75,0.0,-,15,0,89.84,1
29,XLNX200228P00095500,2020-02-20 11:55AM EST,95.5,5.85,12.25,13.25,0.0,-,3,26,92.58,1
30,XLNX200228P00096000,2020-02-12 9:41AM EST,96.0,11.3,13.1,13.55,-0.21,-1.82%,4,0,103.91,1
32,XLNX200228P00097000,2020-02-14 12:21PM EST,97.0,7.05,13.8,14.7,0.0,-,3,0,100.39,1
33,XLNX200228P00098000,2020-01-28 3:42PM EST,98.0,4.0,14.75,15.75,0.0,-,1,36,105.66,1
34,XLNX200228P00099000,2020-02-24 3:30PM EST,99.0,13.3,15.75,16.7,0.0,-,4,5,106.84,1
35,XLNX200228P00099500,2020-02-10 2:43PM EST,99.5,13.75,16.25,17.25,0.0,-,6,0,113.28,1
36,XLNX200228P00100000,2020-02-11 3:54PM EST,100.0,9.87,16.75,17.7,0.0,-,3,4,111.72,1
37,XLNX200228P00101000,2020-02-20 9:49AM EST,101.0,10.39,17.75,18.75,0.0,-,5,0,120.7,1
38,XLNX200228P00102000,2020-02-24 3:30PM EST,102.0,16.3,18.75,19.7,0.0,-,24,24,121.09,1
40,XLNX200228P00105000,2020-01-28 3:54PM EST,105.0,8.5,21.75,22.75,0.0,-,-,0,139.45,1
41,XLNX200228P00110000,2020-02-19 11:16AM EST,110.0,19.05,26.75,27.75,0.0,-,5,0,161.33,1
42,XLNX200228P00111000,2020-02-24 10:22AM EST,111.0,25.9,27.75,28.7,0.0,-,5,5,160.16,1
0,XLNX200306P00070000,2020-02-21 3:50PM EST,70.0,0.05,0.11,0.17,0.0,-,3,4,60.16,8
1,XLNX200306P00075000,2020-02-26 2:13PM EST,75.0,0.4,0.42,0.46,-0.1,-20.00%,6,55,53.08,8
2,XLNX200306P00080000,2020-02-26 2:09PM EST,80.0,1.27,1.26,1.32,0.15,+13.39%,20,0,46.58,8
3,XLNX200306P00081500,2020-02-26 10:12AM EST,81.5,1.87,1.73,1.82,0.53,+39.55%,21,47,45.22,8
4,XLNX200306P00082000,2020-02-24 3:45PM EST,82.0,1.88,1.93,2.02,0.79,+72.48%,9,0,44.82,8
5,XLNX200306P00082500,2020-02-26 1:05PM EST,82.5,2.23,2.16,2.3,-0.15,-6.30%,7,70,45.61,8
6,XLNX200306P00083000,2020-02-26 1:37PM EST,83.0,2.51,2.39,2.49,0.34,+15.67%,27,0,44.46,8
7,XLNX200306P00083500,2020-02-26 12:17PM EST,83.5,2.82,2.59,2.75,0.96,+51.61%,17,47,44.29,8
8,XLNX200306P00084000,2020-02-26 11:19AM EST,84.0,2.08,2.89,3.0,-0.46,-18.11%,36,161,43.65,8
9,XLNX200306P00085000,2020-02-26 2:09PM EST,85.0,3.5,3.5,3.65,-0.2,-5.41%,18,0,44.24,8
10,XLNX200306P00086000,2020-02-25 2:33PM EST,86.0,4.15,4.25,4.35,0.0,-,53,106,44.73,8
11,XLNX200306P00086500,2020-02-25 9:52AM EST,86.5,3.38,4.5,4.8,-0.27,-7.40%,7,78,46.63,8
12,XLNX200306P00087000,2020-02-25 10:58AM EST,87.0,3.85,4.9,5.05,0.0,-,27,59,44.04,8
