,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,XOM200228C00051500,2020-02-25 3:47PM EST,51.5,2.36,1.90,1.97,-0.69,-22.62%,1,0,41.21,1
1,XOM200228C00052000,2020-02-25 3:51PM EST,52.0,1.52,1.47,1.54,-0.95,-38.46%,171,0,38.48,1
2,XOM200228C00053000,2020-02-26 10:36AM EST,53.0,1.81,1.79,1.82,0.06,+3.43%,103,-,86.62,1
3,XOM200228C00053500,2020-02-26 2:21PM EST,53.5,0.55,0.55,0.57,-0.83,-60.14%,710,0,35.06,1
4,XOM200228C00054000,2020-02-26 2:18PM EST,54.0,0.34,0.35,0.39,-0.69,-66.99%,1343,0,35.74,1
5,XOM200228C00054500,2020-02-26 2:19PM EST,54.5,0.22,0.22,0.26,-0.53,-70.67%,3238,0,36.52,1
6,XOM200228C00055000,2020-02-26 2:14PM EST,55.0,0.14,0.14,0.16,-0.43,-75.44%,3678,328,36.52,1
7,XOM200228C00055500,2020-02-26 1:58PM EST,55.5,0.09,0.09,0.1,-0.3,-76.92%,1099,0,37.11,1
8,XOM200228C00056000,2020-02-26 2:18PM EST,56.0,0.06,0.06,0.07,-0.2,-76.92%,872,340,39.06,1
9,XOM200228C00056500,2020-02-26 1:46PM EST,56.5,0.04,0.04,0.06,-0.12,-75.00%,2559,0,42.77,1
10,XOM200228C00057000,2020-02-26 2:02PM EST,57.0,0.05,0.04,0.05,-0.08,-61.54%,3174,0,45.7,1
11,XOM200228C00057500,2020-02-26 1:43PM EST,57.5,0.03,0.03,0.04,-0.05,-62.50%,291,0,48.44,1
12,XOM200228C00058000,2020-02-26 1:54PM EST,58.0,0.02,0.02,0.04,-0.06,-75.00%,294,0,50.0,1
13,XOM200228C00058500,2020-02-26 12:26PM EST,58.5,0.02,0.02,0.03,-0.02,-50.00%,27,0,52.34,1
14,XOM200228C00059000,2020-02-26 11:55AM EST,59.0,0.01,0.02,0.04,-0.04,-80.00%,43,0,58.2,1
15,XOM200228C00059500,2020-02-26 1:43PM EST,59.5,0.02,0.02,0.03,-0.02,-50.00%,58,0,60.16,1
16,XOM200228C00060000,2020-02-26 1:25PM EST,60.0,0.02,0.01,0.03,-0.02,-50.00%,314,2203,62.5,1
17,XOM200228C00060500,2020-02-26 1:27PM EST,60.5,0.02,0.01,0.04,-0.01,-33.33%,29,0,67.97,1
18,XOM200228C00061000,2020-02-26 1:13PM EST,61.0,0.03,0.01,0.02,-0.01,-25.00%,19,0,67.19,1
19,XOM200228C00061500,2020-02-26 1:21PM EST,61.5,0.02,0.01,0.02,-0.01,-33.33%,92,0,70.31,1
20,XOM200228C00062000,2020-02-26 12:16PM EST,62.0,0.02,0.01,0.02,-0.01,-33.33%,99,0,73.44,1
21,XOM200228C00062500,2020-02-25 11:21AM EST,62.5,0.03,0.00,0.04,0.0,-,71,457,79.69,1
22,XOM200228C00063000,2020-02-26 2:14PM EST,63.0,0.01,0.00,0.02,-0.02,-66.67%,73,0,76.56,1
23,XOM200228C00063500,2020-02-25 12:08PM EST,63.5,0.03,0.00,0.03,0.0,-,3,0,82.81,1
24,XOM200228C00064000,2020-02-26 1:21PM EST,64.0,0.01,0.00,0.03,-0.01,-50.00%,1,0,85.94,1
25,XOM200228C00064500,2020-02-25 1:47PM EST,64.5,0.01,0.00,0.03,0.0,-,40,0,89.06,1
26,XOM200228C00065000,2020-02-25 1:29PM EST,65.0,0.01,0.00,0.02,0.0,-,6,1773,87.5,1
27,XOM200228C00065500,2020-02-24 9:36AM EST,65.5,0.02,0.00,0.03,0.0,-,5,0,95.31,1
28,XOM200228C00066000,2020-02-24 2:07PM EST,66.0,0.02,0.00,0.02,0.0,-,40,330,93.75,1
29,XOM200228C00066500,2020-02-24 3:59PM EST,66.5,0.02,0.00,0.03,0.0,-,5,0,101.56,1
30,XOM200228C00067000,2020-02-21 9:33AM EST,67.0,0.01,0.00,0.08,-0.01,-50.00%,10,0,119.53,1
31,XOM200228C00067500,2020-02-24 10:33AM EST,67.5,0.01,0.00,0.03,0.0,-,3,0,107.81,1
32,XOM200228C00068000,2020-02-24 9:32AM EST,68.0,0.01,0.00,0.01,0.0,-,4,0,96.88,1
33,XOM200228C00068500,2020-02-20 2:19PM EST,68.5,0.01,0.00,0.03,0.0,-,5,1680,114.06,1
34,XOM200228C00069000,2020-02-24 1:18PM EST,69.0,0.01,0.00,0.03,0.0,-,1,0,115.63,1
35,XOM200228C00069500,2020-02-21 1:13PM EST,69.5,0.01,0.00,0.03,0.0,-,6,0,118.75,1
36,XOM200228C00070000,2020-02-19 10:19AM EST,70.0,0.03,0.00,0.01,0.0,-,21,0,109.38,1
37,XOM200228C00070500,2020-02-06 11:22AM EST,70.5,0.01,0.00,0.03,0.0,-,1,0,125.0,1
38,XOM200228C00071000,2020-02-21 3:12PM EST,71.0,0.02,0.00,0.03,0.0,-,8,0,128.13,1
39,XOM200228C00071500,2020-02-11 11:03AM EST,71.5,0.02,0.00,0.02,0.0,-,6,0,125.0,1
40,XOM200228C00072000,2020-01-31 12:52PM EST,72.0,0.03,0.00,0.03,0.0,-,8,0,132.81,1
41,XOM200228C00072500,2020-02-07 1:38PM EST,72.5,0.02,0.00,0.03,0.0,-,1,0,135.94,1
42,XOM200228C00073000,2020-01-31 12:52PM EST,73.0,0.03,0.00,0.02,0.0,-,5,160,131.25,1
43,XOM200228C00073500,2020-02-13 9:51AM EST,73.5,0.03,0.00,0.02,0.0,-,7,362,134.38,1
44,XOM200228C00074000,2020-01-27 3:21PM EST,74.0,0.04,0.00,0.02,0.0,-,-,0,137.5,1
45,XOM200228C00074500,2020-01-30 12:09PM EST,74.5,0.04,0.00,0.25,0.0,-,1,0,195.31,1
46,XOM200228C00075000,2020-01-21 12:50PM EST,75.0,0.07,0.00,0.0,0.0,-,2,0,50.0,1
47,XOM200228C00075500,2020-01-29 1:04PM EST,75.5,0.03,0.00,0.08,0.0,-,-,1,170.31,1
48,XOM200228C00076000,2020-01-27 7:00PM EST,76.0,0.33,-,0.03,0.0,-,-,0,167.19,1
0,XOM200306C00051500,2020-02-26 1:52PM EST,51.5,2.46,2.37,2.42,-0.79,-24.31%,62,0,39.06,8
1,XOM200306C00052000,2020-02-26 9:53AM EST,52.0,2.98,3.0,3.05,0.13,+4.56%,22,-,67.14,8
2,XOM200306C00052500,2020-02-26 1:10PM EST,52.5,1.68,1.69,1.75,-0.82,-32.80%,112,0,37.99,8
3,XOM200306C00053000,2020-02-25 12:05PM EST,53.0,2.35,2.25,2.27,-0.4,-14.55%,6,-,60.45,8
4,XOM200306C00053500,2020-02-26 9:32AM EST,53.5,1.85,1.88,1.91,0.01,+0.54%,6,-,56.93,8
5,XOM200306C00054000,2020-02-26 1:19PM EST,54.0,0.98,0.92,0.96,-0.64,-39.51%,588,0,36.43,8
6,XOM200306C00054500,2020-02-26 2:07PM EST,54.5,0.75,0.73,0.76,-0.49,-39.52%,278,0,35.99,8
7,XOM200306C00055000,2020-02-26 1:45PM EST,55.0,0.61,0.55,0.58,-0.47,-43.52%,454,26,35.25,8
8,XOM200306C00055500,2020-02-26 12:53PM EST,55.5,0.44,0.45,0.54,-0.44,-50.00%,79,59,38.28,8
9,XOM200306C00056000,2020-02-26 2:08PM EST,56.0,0.37,0.35,0.37,-0.36,-49.32%,171,0,36.13,8
10,XOM200306C00056500,2020-02-26 10:30AM EST,56.5,0.51,0.5,0.52,-0.03,-5.56%,285,-,45.7,8
11,XOM200306C00057000,2020-02-26 1:52PM EST,57.0,0.23,0.2,0.22,-0.22,-48.89%,561,0,36.52,8
12,XOM200306C00057500,2020-02-26 1:42PM EST,57.5,0.15,0.17,0.18,-0.22,-59.46%,207,0,37.4,8
13,XOM200306C00058000,2020-02-26 12:30PM EST,58.0,0.13,0.13,0.14,-0.15,-53.57%,10,0,37.79,8
14,XOM200306C00058500,2020-02-25 12:38PM EST,58.5,0.12,0.1,0.12,-0.13,-52.00%,34,0,39.06,8
15,XOM200306C00059000,2020-02-26 12:39PM EST,59.0,0.09,0.05,0.1,-0.1,-52.63%,54,0,40.04,8
16,XOM200306C00059500,2020-02-26 1:54PM EST,59.5,0.07,0.07,0.08,-0.06,-46.15%,13,0,40.63,8
17,XOM200306C00060000,2020-02-26 1:54PM EST,60.0,0.06,0.06,0.07,-0.06,-50.00%,160,1670,41.99,8
18,XOM200306C00060500,2020-02-26 2:20PM EST,60.5,0.05,0.05,0.06,-0.03,-37.50%,22,0,42.97,8
19,XOM200306C00061000,2020-02-26 12:38PM EST,61.0,0.08,0.04,0.08,-0.01,-11.11%,58,0,47.85,8
20,XOM200306C00061500,2020-02-26 1:21PM EST,61.5,0.05,0.03,0.06,-0.03,-37.50%,37,0,47.46,8
21,XOM200306C00062000,2020-02-26 11:54AM EST,62.0,0.04,0.03,0.06,-0.02,-33.33%,64,0,49.61,8
22,XOM200306C00062500,2020-02-25 3:46PM EST,62.5,0.07,0.03,0.06,0.01,+16.67%,4,0,51.76,8
23,XOM200306C00063000,2020-02-26 10:44AM EST,63.0,0.04,0.03,0.04,-0.02,-33.33%,239,0,50.39,8
