,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,XRAY200320P00042500,2020-02-25 2:17PM EST,42.5,0.2,0.0,0.35,0.0,-,13,27,57.42,22
1,XRAY200320P00047500,2020-02-25 3:49PM EST,47.5,1.0,0.65,0.8,0.0,-,-,-,42.14,22
2,XRAY200320P00050000,2020-02-24 2:43PM EST,50.0,1.5,1.8,2.0,0.0,-,2,14,48.29,22
3,XRAY200320P00052500,2020-02-25 2:27PM EST,52.5,2.65,2.95,3.3,0.0,-,2,70,47.51,22
4,XRAY200320P00055000,2020-02-24 3:19PM EST,55.0,2.5,4.7,4.9,0.0,-,41,156,45.02,22
5,XRAY200320P00057500,2020-02-26 9:34AM EST,57.5,5.0,6.5,7.0,-1.12,-18.30%,2,146,47.07,22
6,XRAY200320P00060000,2020-02-21 3:53PM EST,60.0,4.22,8.9,9.3,0.0,-,1,66,50.29,22
0,XRAY200417P00035000,2019-09-30 8:30AM EST,35.0,0.32,0.0,0.7,0.0,-,1,1,68.56,50
1,XRAY200417P00040000,2019-09-30 8:30AM EST,40.0,0.66,0.2,0.45,0.0,-,1,1,51.9,50
2,XRAY200417P00042500,2019-08-22 11:47AM EST,42.5,0.95,1.1,1.5,0.0,-,-,3,61.18,50
3,XRAY200417P00045000,2019-10-18 2:43PM EST,45.0,0.9,0.0,0.0,0.0,-,4,0,6.25,50
4,XRAY200417P00047500,2020-02-14 10:11AM EST,47.5,0.35,1.0,1.2,0.0,-,4,0,35.11,50
5,XRAY200417P00050000,2020-02-24 12:59PM EST,50.0,2.06,2.25,2.5,0.0,-,1,0,39.48,50
6,XRAY200417P00052500,2020-02-25 12:30PM EST,52.5,2.55,3.4,3.7,0.0,-,2,113,37.55,50
7,XRAY200417P00055000,2020-02-14 9:35AM EST,55.0,1.65,5.0,5.5,0.0,-,1,185,39.45,50
8,XRAY200417P00057500,2020-02-20 1:39PM EST,57.5,2.85,7.0,7.3,0.0,-,22,66,37.55,50
9,XRAY200417P00060000,2020-02-12 12:19PM EST,60.0,4.0,8.9,9.6,0.0,-,10,0,41.09,50
10,XRAY200417P00062500,2020-02-11 11:12AM EST,62.5,5.4,11.0,12.4,0.0,-,8,33,53.81,50
11,XRAY200417P00065000,2020-02-21 1:41PM EST,65.0,8.61,11.9,16.1,0.0,-,2,0,81.3,50
0,XRAY200717P00040000,2019-11-25 12:38PM EST,40.0,0.4,0.3,0.4,0.0,-,-,2,30.32,141
1,XRAY200717P00042500,2020-02-24 9:30AM EST,42.5,0.5,0.85,1.0,0.0,-,-,-,33.2,141
2,XRAY200717P00045000,2020-01-09 12:26PM EST,45.0,0.6,0.55,0.7,0.0,-,4,5,22.75,141
3,XRAY200717P00047500,2020-02-25 2:06PM EST,47.5,2.2,1.9,2.1,0.0,-,1,44,29.35,141
4,XRAY200717P00050000,2020-02-25 3:21PM EST,50.0,3.1,3.3,3.5,0.0,-,2,41,31.82,141
5,XRAY200717P00052500,2020-02-11 9:51AM EST,52.5,1.85,4.5,4.7,0.0,-,1,24,30.52,141
