,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,XYL200320P00075000,2020-02-25 3:04PM EST,75.0,0.4,0.25,0.5,0.0,-,2,28,39.75,22
1,XYL200320P00080000,2020-02-26 11:20AM EST,80.0,0.75,1.0,1.2,0.05,+7.14%,150,187,34.11,22
2,XYL200320P00085000,2020-02-25 3:49PM EST,85.0,2.8,2.75,3.1,0.0,-,22,0,31.91,22
3,XYL200320P00090000,2020-02-21 1:36PM EST,90.0,5.49,6.0,6.9,2.09,+61.47%,14,0,37.53,22
4,XYL200320P00095000,2020-02-20 12:43PM EST,95.0,7.2,10.3,11.7,0.0,-,1,0,49.27,22
0,XYL200417P00050000,2019-10-10 12:30PM EST,50.0,0.55,0.0,4.8,0.0,-,-,109,131.98,50
1,XYL200417P00055000,2020-01-13 1:43PM EST,55.0,0.1,0.0,0.0,0.0,-,1,4,25.0,50
2,XYL200417P00060000,2020-01-10 9:31AM EST,60.0,0.01,0.55,0.55,0.0,-,2,11,62.35,50
3,XYL200417P00065000,2020-01-13 1:43PM EST,65.0,0.45,0.0,0.3,0.0,-,1,231,43.8,50
4,XYL200417P00070000,2020-02-20 1:03PM EST,70.0,0.27,0.35,0.45,0.0,-,10,17,36.96,50
5,XYL200417P00075000,2020-02-19 1:48PM EST,75.0,0.37,0.75,0.95,0.0,-,1,223,33.42,50
6,XYL200417P00080000,2020-02-25 3:05PM EST,80.0,1.76,1.8,1.95,0.0,-,1,214,30.15,50
7,XYL200417P00085000,2020-02-24 11:26AM EST,85.0,3.1,3.7,3.9,-0.41,-11.68%,4,0,27.98,50
8,XYL200417P00090000,2020-02-24 12:15PM EST,90.0,5.42,6.7,7.1,0.0,-,11,25,27.37,50
9,XYL200417P00095000,2020-02-21 1:14PM EST,95.0,7.62,10.5,11.4,0.0,-,1,0,29.81,50
10,XYL200417P00100000,2019-10-31 1:54PM EST,100.0,23.45,20.1,24.8,0.0,-,4,0,95.65,50
0,XYL200717P00040000,2019-11-18 9:45AM EST,40.0,0.2,0.0,0.75,0.0,-,-,1,67.48,141
1,XYL200717P00055000,2019-12-19 10:00AM EST,55.0,0.55,0.0,0.75,0.0,-,-,2,48.71,141
2,XYL200717P00060000,2019-12-31 11:51AM EST,60.0,0.85,0.45,0.65,0.0,-,2,10,39.16,141
3,XYL200717P00065000,2020-02-11 9:52AM EST,65.0,0.7,0.7,0.85,0.0,-,31,0,34.16,141
4,XYL200717P00070000,2020-02-25 11:18AM EST,70.0,1.1,1.2,1.4,0.0,-,10,13,31.56,141
5,XYL200717P00075000,2020-02-25 1:30PM EST,75.0,1.92,2.1,2.35,0.0,-,5,117,29.64,141
6,XYL200717P00080000,2020-02-26 2:14PM EST,80.0,3.62,3.5,3.8,0.35,+10.70%,4,0,27.89,141
7,XYL200717P00085000,2020-02-24 3:57PM EST,85.0,5.15,5.6,6.0,0.35,+7.29%,1,0,26.86,141
8,XYL200717P00090000,2020-02-20 3:03PM EST,90.0,7.5,8.3,8.9,0.0,-,2,5,25.92,141
9,XYL200717P00095000,2020-02-24 12:11AM EST,95.0,9.6,12.0,12.5,0.0,-,-,0,25.29,141
