,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,ZBH200320C00100000,2019-12-04 9:56AM EST,100.0,48.2,47.00,52.0,0.0,-,-,0,117.77,22
1,ZBH200320C00105000,2019-12-19 10:14AM EST,105.0,44.24,42.10,47.0,0.0,-,2,10,106.98,22
2,ZBH200320C00110000,2020-01-23 12:15PM EST,110.0,39.85,45.10,49.7,0.0,-,5,0,184.06,22
4,ZBH200320C00120000,2020-02-25 12:07PM EST,120.0,32.28,30.00,34.2,0.0,-,1,10,102.93,22
5,ZBH200320C00125000,2020-02-26 11:22AM EST,125.0,26.77,21.00,25.5,-7.23,-21.26%,6,0,74.19,22
6,ZBH200320C00130000,2020-02-26 12:54PM EST,130.0,20.05,16.40,20.2,-6.71,-25.07%,2,164,59.74,22
7,ZBH200320C00135000,2020-02-24 12:24PM EST,135.0,19.65,13.10,14.6,0.0,-,7,0,42.82,22
8,ZBH200320C00140000,2020-02-24 10:28AM EST,140.0,12.6,8.80,10.9,0.0,-,5,0,42.31,22
9,ZBH200320C00145000,2020-02-18 9:35AM EST,145.0,15.0,5.70,6.2,0.0,-,1,523,31.08,22
10,ZBH200320C00150000,2020-02-26 2:04PM EST,150.0,3.2,3.00,3.4,-5.3,-62.35%,17,992,28.92,22
11,ZBH200320C00155000,2020-02-26 11:37AM EST,155.0,2.4,1.35,1.5,0.02,+0.84%,11,0,26.71,22
12,ZBH200320C00160000,2020-02-26 11:35AM EST,160.0,0.77,0.50,0.65,-0.28,-26.67%,4,1672,26.76,22
13,ZBH200320C00165000,2020-02-26 12:16PM EST,165.0,0.3,0.05,0.3,-0.17,-36.17%,53,0,27.88,22
14,ZBH200320C00170000,2020-02-20 10:45AM EST,170.0,0.35,0.05,0.15,0.0,-,50,0,29.44,22
15,ZBH200320C00185000,2020-02-10 12:09AM EST,185.0,0.05,-,0.1,0.0,-,-,20,40.82,22
0,ZBH200417C00155000,2020-02-26 1:31PM EST,155.0,2.7,2.55,2.9,-2.0,-42.55%,14,6,25.43,50
1,ZBH200417C00160000,2020-02-26 1:06PM EST,160.0,1.7,1.3,1.6,-1.3,-43.33%,3,2,24.83,50
2,ZBH200417C00165000,2020-02-26 11:11AM EST,165.0,0.9,0.55,0.8,-0.7,-43.75%,5,1,24.26,50
3,ZBH200417C00170000,2020-02-24 10:52AM EST,170.0,0.75,0.15,0.45,0.0,-,-,1,24.9,50
0,ZBH200619C00105000,2020-01-24 1:28PM EST,105.0,43.54,50.5,54.1,0.0,-,1,0,91.37,113
1,ZBH200619C00110000,2020-02-18 9:39AM EST,110.0,49.45,40.5,44.8,0.0,-,2,0,61.91,113
2,ZBH200619C00120000,2020-01-16 10:57AM EST,120.0,30.85,38.8,43.2,0.0,-,10,10,83.18,113
3,ZBH200619C00125000,2020-01-02 3:46PM EST,125.0,26.7,24.7,26.7,0.0,-,-,2,39.42,113
5,ZBH200619C00135000,2020-02-06 3:26PM EST,135.0,25.45,16.3,17.5,0.0,-,4,0,30.95,113
6,ZBH200619C00140000,2020-02-24 10:28AM EST,140.0,17.63,13.2,14.5,0.0,-,1,0,31.42,113
7,ZBH200619C00145000,2020-02-25 3:15PM EST,145.0,12.02,9.5,10.6,0.0,-,152,87,27.84,113
8,ZBH200619C00150000,2020-02-25 3:14PM EST,150.0,9.0,7.3,8.2,0.0,-,153,0,27.76,113
9,ZBH200619C00155000,2020-02-20 2:44PM EST,155.0,6.1,5.1,5.4,-4.1,-40.20%,1,0,25.13,113
10,ZBH200619C00160000,2020-02-26 12:44PM EST,160.0,4.1,3.2,3.6,-0.4,-8.89%,2,183,24.13,113
11,ZBH200619C00165000,2020-02-26 12:45PM EST,165.0,2.6,1.75,2.3,-0.8,-23.53%,36,527,23.38,113
12,ZBH200619C00170000,2020-02-07 12:26PM EST,170.0,2.25,1.1,1.45,0.0,-,1,0,23.0,113
13,ZBH200619C00175000,2020-02-24 2:11PM EST,175.0,1.35,0.6,0.85,0.0,-,1,0,22.47,113
14,ZBH200619C00180000,2020-02-21 10:19AM EST,180.0,0.87,0.25,0.55,0.0,-,250,0,22.72,113
0,ZBH200918C00110000,2020-01-24 1:28PM EST,110.0,39.7,48.2,49.4,0.0,-,-,0,67.34,204
1,ZBH200918C00125000,2020-01-27 12:10AM EST,125.0,25.95,26.6,28.1,0.0,-,-,0,33.88,204
