,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,ZBH200320P00080000,2019-10-02 10:30AM EST,80.0,0.35,0.0,0.3,0.0,-,-,5,109.18,22
1,ZBH200320P00090000,2019-10-07 8:30AM EST,90.0,0.35,0.05,0.4,0.0,-,4,0,95.7,22
2,ZBH200320P00095000,2020-02-03 3:05PM EST,95.0,0.05,0.0,0.1,0.0,-,1,18,70.31,22
3,ZBH200320P00100000,2019-10-01 9:26AM EST,100.0,1.0,0.45,1.15,0.0,-,1,19,98.44,22
4,ZBH200320P00105000,2020-02-05 1:37PM EST,105.0,0.03,0.0,0.15,0.0,-,1,0,58.79,22
5,ZBH200320P00110000,2019-10-21 11:16AM EST,110.0,1.5,0.4,0.7,0.0,-,10,31,72.17,22
6,ZBH200320P00115000,2019-12-13 3:21PM EST,115.0,0.47,0.0,0.35,0.0,-,1,0,50.78,22
7,ZBH200320P00120000,2020-02-24 9:31AM EST,120.0,0.1,0.35,0.4,0.0,-,4,0,50.1,22
8,ZBH200320P00125000,2020-02-19 3:38PM EST,125.0,0.07,0.1,0.35,0.0,-,2,0,41.36,22
9,ZBH200320P00130000,2020-02-12 9:38AM EST,130.0,0.14,0.4,0.6,0.0,-,1,66,38.16,22
10,ZBH200320P00135000,2020-02-10 12:35PM EST,135.0,0.25,0.75,1.0,0.0,-,4,0,34.6,22
11,ZBH200320P00140000,2020-02-21 12:24PM EST,140.0,1.3,1.55,1.7,0.0,-,5,0,31.19,22
12,ZBH200320P00145000,2020-02-24 3:31PM EST,145.0,2.16,2.95,3.3,0.66,+44.00%,1,0,30.54,22
13,ZBH200320P00150000,2020-02-26 9:41AM EST,150.0,3.3,4.9,5.4,0.4,+13.79%,1,220,27.72,22
14,ZBH200320P00155000,2020-02-26 10:04AM EST,155.0,5.8,8.2,8.7,0.5,+9.43%,4,0,26.88,22
15,ZBH200320P00160000,2020-02-20 9:46AM EST,160.0,3.6,11.7,13.3,0.0,-,1,10,31.98,22
16,ZBH200320P00165000,2020-02-20 9:46AM EST,165.0,14.0,14.9,18.8,7.18,+105.28%,2,3,44.82,22
17,ZBH200320P00170000,2020-02-24 10:29AM EST,170.0,16.1,19.7,24.3,0.0,-,4,0,57.28,22
0,ZBH200417P00135000,2020-02-25 12:10PM EST,135.0,1.5,1.0,1.3,0.0,-,-,-,25.78,50
1,ZBH200417P00140000,2020-02-26 2:08PM EST,140.0,2.95,2.9,3.2,1.15,+63.89%,8,31,29.37,50
2,ZBH200417P00145000,2020-02-25 2:13PM EST,145.0,3.5,4.3,4.7,0.0,-,4,2,27.26,50
3,ZBH200417P00150000,2020-02-25 11:14AM EST,150.0,4.3,4.3,4.8,0.0,-,-,-,16.09,50
4,ZBH200417P00160000,2020-02-25 6:46PM EST,160.0,11.0,13.1,13.8,0.0,-,-,1,24.98,50
0,ZBH200619P00095000,2020-01-23 10:22AM EST,95.0,0.25,0.0,0.4,0.0,-,2,0,43.51,113
1,ZBH200619P00105000,2019-12-24 11:08AM EST,105.0,0.7,0.3,1.0,0.0,-,2,6,42.43,113
2,ZBH200619P00110000,2019-11-21 11:23AM EST,110.0,1.95,0.75,1.65,0.0,-,9,0,43.12,113
3,ZBH200619P00120000,2020-01-27 9:50AM EST,120.0,1.41,0.9,1.25,0.0,-,1,34,30.64,113
4,ZBH200619P00130000,2020-02-26 12:52PM EST,130.0,2.3,2.55,2.95,-0.1,-4.17%,1,0,29.83,113
5,ZBH200619P00135000,2020-02-24 2:56PM EST,135.0,3.2,3.3,4.0,0.9,+39.13%,1,25,28.46,113
6,ZBH200619P00145000,2020-02-26 12:44PM EST,145.0,5.9,6.7,7.0,1.1,+22.92%,1,536,25.45,113
7,ZBH200619P00150000,2020-02-24 2:07PM EST,150.0,7.9,8.8,9.6,0.3,+3.95%,1,0,25.42,113
8,ZBH200619P00155000,2020-02-24 2:07PM EST,155.0,8.6,11.3,12.1,0.0,-,2,74,23.63,113
9,ZBH200619P00160000,2020-02-20 12:55PM EST,160.0,7.8,14.8,15.5,0.0,-,5,0,23.18,113
0,ZBH200918P00110000,2020-02-07 11:32AM EST,110.0,0.8,1.4,1.85,0.0,-,2,0,33.3,204
1,ZBH200918P00115000,2020-01-21 2:57PM EST,115.0,1.56,0.0,0.0,0.0,-,-,0,6.25,204
2,ZBH200918P00120000,2020-02-06 3:29PM EST,120.0,1.25,2.4,3.0,0.0,-,2,5,30.52,204
3,ZBH200918P00125000,2020-02-24 12:39PM EST,125.0,2.3,3.1,3.7,0.0,-,25,0,28.87,204
4,ZBH200918P00130000,2020-02-13 12:14PM EST,130.0,2.1,4.1,4.8,0.0,-,-,14,27.95,204
5,ZBH200918P00135000,2020-02-13 2:05PM EST,135.0,2.7,5.3,6.1,0.0,-,2,82,26.92,204
6,ZBH200918P00140000,2020-02-18 3:45PM EST,140.0,3.5,6.8,7.7,0.0,-,4,0,25.97,204
7,ZBH200918P00145000,2020-02-25 1:17PM EST,145.0,7.52,8.7,9.8,0.0,-,5,6,25.46,204
8,ZBH200918P00150000,2020-02-10 12:10PM EST,150.0,6.0,11.0,11.9,0.0,-,1,0,24.19,204
9,ZBH200918P00155000,2020-02-24 3:46PM EST,155.0,10.9,13.7,14.6,0.0,-,2,45,23.46,204
