,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,TSLA220318C00500000,2020-02-11 2:45PM EST,500.0,349.3,407.0,424.5,0.0,-,1,0,56.98,752
1,TSLA220318C00600000,2020-02-21 2:25PM EST,600.0,405.0,348.55,363.65,0.0,-,10,0,55.33,752
2,TSLA220318C00680000,2020-02-10 2:52PM EST,680.0,257.5,308.5,325.85,0.0,-,-,0,55.08,752
3,TSLA220318C00700000,2020-02-19 10:41AM EST,700.0,378.34,299.25,316.5,0.0,-,-,0,54.95,752
4,TSLA220318C00740000,2020-02-20 2:15PM EST,740.0,328.0,281.85,298.75,0.0,-,1,0,54.73,752
5,TSLA220318C00760000,2020-02-10 10:18AM EST,760.0,234.0,274.0,288.2,0.0,-,-,0,54.44,752
6,TSLA220318C00780000,2020-02-18 12:10AM EST,780.0,244.69,266.75,281.9,0.0,-,-,0,54.66,752
7,TSLA220318C00800000,2020-02-19 11:51AM EST,800.0,338.0,258.35,274.5,0.0,-,2,0,54.56,752
8,TSLA220318C00820000,2020-02-19 1:16PM EST,820.0,325.0,251.35,262.75,0.0,-,-,0,54.07,752
9,TSLA220318C00840000,2020-02-19 11:13AM EST,840.0,315.97,244.2,259.65,0.0,-,2,0,54.49,752
10,TSLA220318C00860000,2020-02-20 2:51PM EST,860.0,277.5,240.8,251.35,0.0,-,2,0,54.7,752
11,TSLA220318C00880000,2020-02-21 9:48AM EST,880.0,274.5,231.4,240.0,0.0,-,1,0,53.86,752
12,TSLA220318C00900000,2020-02-21 11:15AM EST,900.0,265.0,224.9,238.45,0.0,-,63,0,54.37,752
13,TSLA220318C00920000,2020-02-20 3:59PM EST,920.0,261.0,218.8,232.1,0.0,-,-,0,54.35,752
14,TSLA220318C00940000,2020-02-19 3:55PM EST,940.0,260.0,215.6,224.25,0.0,-,-,0,54.45,752
15,TSLA220318C00960000,2020-02-24 3:14PM EST,960.0,211.0,210.1,220.1,-33.0,-13.52%,50,0,54.65,752
16,TSLA220318C00980000,2020-02-11 9:36AM EST,980.0,209.07,201.75,214.5,36.07,+20.85%,5,0,54.35,752
17,TSLA220318C01000000,2020-02-21 2:30PM EST,1000.0,203.42,199.5,209.2,-32.08,-13.62%,5,0,54.7,752
18,TSLA220318C01080000,2020-02-20 9:31AM EST,1080.0,212.0,177.0,189.5,0.0,-,3,0,54.47,752
19,TSLA220318C01100000,2020-02-24 10:05AM EST,1100.0,198.0,172.25,185.25,-6.0,-2.94%,3,0,54.5,752
20,TSLA220318C01120000,2020-02-19 12:00PM EST,1120.0,224.95,168.45,181.0,0.0,-,15,0,54.6,752
21,TSLA220318C01520000,2020-02-24 9:50AM EST,1520.0,129.0,108.8,117.85,-6.0,-4.44%,9,0,55.79,752
22,TSLA220318C01530000,2020-02-18 9:48AM EST,1530.0,99.3,107.75,116.8,0.0,-,5,0,55.83,752
23,TSLA220318C01540000,2020-02-24 3:35PM EST,1540.0,111.8,106.7,115.75,-32.17,-22.34%,3,0,55.87,752
24,TSLA220318C01550000,2020-02-24 10:27AM EST,1550.0,130.0,105.7,114.75,-5.0,-3.70%,1,0,55.92,752
25,TSLA220318C01560000,2020-02-18 9:46AM EST,1560.0,94.37,104.7,113.75,0.0,-,-,0,55.97,752
26,TSLA220318C01580000,2020-02-12 2:46PM EST,1580.0,68.25,102.75,111.8,0.0,-,1,0,56.05,752
27,TSLA220318C01590000,2020-02-06 2:00PM EST,1590.0,81.2,101.8,110.85,0.0,-,-,0,56.1,752
28,TSLA220318C01600000,2020-02-24 11:30AM EST,1600.0,110.0,101.2,109.5,-17.94,-14.02%,1,0,56.14,752
29,TSLA220318C01630000,2020-02-24 3:08PM EST,1630.0,108.0,98.0,107.45,41.35,+62.04%,2,0,56.3,752
30,TSLA220318C01650000,2020-02-20 12:00PM EST,1650.0,114.2,96.45,105.5,0.0,-,-,0,56.39,752
31,TSLA220318C01680000,2020-02-07 9:47AM EST,1680.0,68.0,94.2,103.0,0.0,-,1,0,56.56,752
32,TSLA220318C01700000,2020-02-24 2:29PM EST,1700.0,100.7,92.55,101.5,24.88,+32.81%,1,0,56.67,752
