,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,TSLA220318P00380000,2020-02-24 12:48PM EST,380.0,36.0,34.15,40.5,5.0,+16.13%,27,0,55.90%,752
1,TSLA220318P00400000,2020-02-24 12:39PM EST,400.0,40.0,38.65,44.5,3.0,+8.11%,25,0,55.10%,752
2,TSLA220318P00410000,2020-02-18 10:01AM EST,410.0,39.0,40.15,48.6,0.0,-,1,0,54.99%,752
3,TSLA220318P00450000,2020-02-19 11:01AM EST,450.0,46.28,50.45,59.0,0.0,-,1,0,53.81%,752
4,TSLA220318P00460000,2020-02-19 11:01AM EST,460.0,48.66,52.35,61.5,0.0,-,-,0,53.30%,752
5,TSLA220318P00500000,2020-02-24 10:39AM EST,500.0,72.13,68.1,73.95,12.93,+21.84%,1,0,53.08%,752
6,TSLA220318P00520000,2020-02-10 12:57PM EST,520.0,82.1,73.45,80.75,0.0,-,-,0,52.44%,752
7,TSLA220318P00560000,2020-02-13 1:21PM EST,560.0,90.0,88.4,96.0,0.0,-,-,0,51.90%,752
8,TSLA220318P00600000,2020-02-24 12:03PM EST,600.0,110.5,104.1,112.65,11.0,+11.06%,5,0,51.31%,752
9,TSLA220318P00620000,2020-02-12 3:25PM EST,620.0,118.7,112.35,123.15,0.0,-,-,0,51.26%,752
10,TSLA220318P00680000,2020-02-19 12:36PM EST,680.0,127.16,139.45,151.45,0.0,-,6,0,50.49%,752
11,TSLA220318P00700000,2020-02-18 1:55PM EST,700.0,143.25,149.8,161.8,0.0,-,3,0,50.38%,752
12,TSLA220318P00740000,2020-02-11 10:51AM EST,740.0,180.0,172.0,183.6,0.0,-,43,0,50.25%,752
13,TSLA220318P00760000,2020-02-19 9:48AM EST,760.0,162.95,183.05,195.4,0.0,-,4,0,50.19%,752
14,TSLA220318P00780000,2020-02-24 11:11AM EST,780.0,201.0,194.7,206.8,23.96,+13.53%,3,0,50.08%,752
15,TSLA220318P00800000,2020-02-24 11:31AM EST,800.0,215.0,208.1,219.2,29.75,+16.06%,1,0,50.23%,752
16,TSLA220318P00840000,2020-02-18 12:14AM EST,840.0,235.58,230.8,244.85,0.0,-,-,0,51.55%,752
17,TSLA220318P00900000,2020-02-24 12:07AM EST,900.0,255.0,268.7,281.75,0.0,-,-,-,50.90%,752
18,TSLA220318P00920000,2020-02-06 11:20AM EST,920.0,305.0,280.65,294.35,0.0,-,-,0,50.66%,752
19,TSLA220318P01520000,2020-02-05 3:10PM EST,1520.0,830.65,759.9,776.45,0.0,-,-,0,50.62%,752
