,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,TSLA200717C00010000,2020-02-10 12:11AM EST,10.0,797.45,823.9,833.3,0.0,-,-,0,513.48,143
1,TSLA200717C00020000,2020-02-04 10:34AM EST,20.0,843.5,813.7,824.75,0.0,-,-,0,394.43,143
2,TSLA200717C00030000,2020-02-03 10:37AM EST,30.0,689.5,804.8,815.05,0.0,-,-,0,344.43,143
3,TSLA200717C00040000,2020-02-04 12:29PM EST,40.0,866.05,794.05,804.15,0.0,-,-,0,295.02,143
4,TSLA200717C00050000,2020-02-03 1:34PM EST,50.0,699.35,783.45,793.3,0.0,-,-,0,260.23,143
5,TSLA200717C00080000,2020-02-05 9:47AM EST,80.0,714.8,753.65,762.7,0.0,-,-,0,209.4,143
6,TSLA200717C00110000,2020-02-10 12:11AM EST,110.0,664.05,723.9,733.45,0.0,-,-,0,182.8,143
7,TSLA200717C00120000,2020-02-05 10:15AM EST,120.0,639.15,713.95,722.9,0.0,-,-,0,172.85,143
8,TSLA200717C00130000,2020-02-05 10:15AM EST,130.0,626.8,705.4,713.0,0.0,-,-,0,170.52,143
9,TSLA200717C00140000,2020-02-05 10:38AM EST,140.0,611.45,694.1,703.7,0.0,-,-,0,161.76,143
10,TSLA200717C00150000,2020-02-06 1:54PM EST,150.0,614.65,684.65,695.65,0.0,-,-,0,162.34,143
11,TSLA200717C00160000,2020-02-05 11:56AM EST,160.0,603.6,674.7,683.95,0.0,-,-,0,151.9,143
12,TSLA200717C00170000,2020-02-04 10:35AM EST,170.0,641.6,664.8,675.95,0.0,-,-,0,151.55,143
13,TSLA200717C00180000,2020-02-10 12:11AM EST,180.0,614.7,654.7,664.3,0.0,-,-,0,142.02,143
14,TSLA200717C00190000,2020-02-05 9:45AM EST,190.0,597.7,646.0,654.45,0.0,-,-,0,140.44,143
15,TSLA200717C00200000,2020-02-05 11:46AM EST,200.0,564.5,635.25,645.9,0.0,-,2,0,137.18,143
16,TSLA200717C00210000,2020-02-04 3:38PM EST,210.0,752.3,625.0,634.95,0.0,-,-,0,130.16,143
17,TSLA200717C00220000,2020-02-04 9:45AM EST,220.0,555.3,615.2,625.15,0.0,-,-,0,126.76,143
18,TSLA200717C00230000,2020-02-04 9:44AM EST,230.0,669.15,606.8,616.45,0.0,-,-,0,128.09,143
19,TSLA200717C00250000,2020-02-04 9:44AM EST,250.0,649.75,586.2,595.95,0.0,-,1,0,118.4,143
20,TSLA200717C00260000,2020-02-05 10:18AM EST,260.0,502.05,576.45,586.25,0.0,-,-,0,115.7,143
21,TSLA200717C00270000,2020-02-05 3:15PM EST,270.0,474.67,567.9,576.6,0.0,-,6,0,114.99,143
22,TSLA200717C00290000,2020-02-20 1:41PM EST,290.0,604.19,548.8,555.4,0.0,-,8,0,107.84,143
23,TSLA200717C00300000,2020-02-19 11:47AM EST,300.0,632.64,538.05,547.7,0.0,-,11,0,106.79,143
24,TSLA200717C00310000,2020-02-20 1:27PM EST,310.0,583.91,530.9,536.8,0.0,-,10,0,106.15,143
25,TSLA200717C00320000,2020-02-20 11:53AM EST,320.0,562.47,521.2,527.65,0.0,-,68,0,104.46,143
26,TSLA200717C00330000,2020-02-19 11:28AM EST,330.0,612.3,512.05,516.1,0.0,-,34,0,100.65,143
27,TSLA200717C00335000,2020-02-24 10:26AM EST,335.0,524.29,505.8,513.3,-67.51,-11.41%,1,0,100.27,143
28,TSLA200717C00340000,2020-02-20 10:51AM EST,340.0,568.81,501.15,508.75,0.0,-,1,0,99.71,143
29,TSLA200717C00345000,2020-02-04 1:38PM EST,345.0,582.35,496.2,504.25,0.0,-,-,0,98.86,143
30,TSLA200717C00350000,2020-02-12 3:41PM EST,350.0,427.7,493.4,498.7,0.0,-,10,0,99.14,143
31,TSLA200717C00355000,2020-01-27 12:47PM EST,355.0,215.1,488.3,494.85,0.0,-,5,0,98.77,143
32,TSLA200717C00360000,2020-02-04 3:55PM EST,360.0,513.9,481.7,490.25,0.0,-,1,0,96.18,143
33,TSLA200717C00370000,2020-02-18 10:17AM EST,370.0,490.37,472.05,481.35,0.0,-,26,0,94.83,143
34,TSLA200717C00375000,2020-02-13 3:32PM EST,375.0,430.61,469.95,475.6,0.0,-,22,0,95.45,143
35,TSLA200717C00380000,2020-02-13 2:52PM EST,380.0,431.05,465.65,470.75,0.0,-,1,0,94.84,143
36,TSLA200717C00385000,2020-02-12 2:21PM EST,385.0,395.13,458.3,467.75,0.0,-,42,0,93.19,143
37,TSLA200717C00390000,2020-02-20 9:30AM EST,390.0,529.55,454.4,462.55,0.0,-,21,0,92.63,143
38,TSLA200717C00395000,2020-02-05 10:34AM EST,395.0,372.85,450.75,457.9,0.0,-,1,0,92.72,143
39,TSLA200717C00400000,2020-02-19 2:54PM EST,400.0,526.23,445.95,452.65,0.0,-,2,0,91.36,143
40,TSLA200717C00405000,2020-01-29 3:20PM EST,405.0,401.3,440.1,449.05,0.0,-,4,0,90.5,143
41,TSLA200717C00410000,2020-02-05 10:25AM EST,410.0,377.45,436.95,444.75,0.0,-,5,0,91.18,143
42,TSLA200717C00415000,2020-02-05 10:25AM EST,415.0,373.1,433.0,440.0,0.0,-,2,0,90.85,143
43,TSLA200717C00420000,2020-02-21 11:07AM EST,420.0,485.3,428.75,434.95,0.0,-,1,0,90.07,143
