,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Maturity
0,TSLA200821P00100000,2020-02-24 2:06PM EST,100.0,0.3,0.05,0.37,0.22,+275.00%,16,0,111.04%,178
1,TSLA200821P00105000,2020-02-06 10:55AM EST,105.0,0.77,0.2,1.2,0.0,-,2,0,124.22%,178
2,TSLA200821P00110000,2020-02-19 10:15AM EST,110.0,0.5,0.1,1.13,0.0,-,3,0,119.43%,178
3,TSLA200821P00120000,2020-02-20 11:14AM EST,120.0,0.5,0.02,0.99,0.0,-,8,0,111.57%,178
4,TSLA200821P00125000,2020-02-04 3:52PM EST,125.0,0.01,0.1,0.96,0.0,-,-,0,109.81%,178
5,TSLA200821P00130000,2020-02-24 10:37AM EST,130.0,0.88,0.0,1.39,0.11,+14.29%,6,0,111.13%,178
6,TSLA200821P00135000,2020-02-24 10:38AM EST,135.0,0.8,0.0,0.9,0.22,+37.93%,20,0,103.37%,178
7,TSLA200821P00140000,2020-02-18 11:32AM EST,140.0,0.4,0.05,1.35,0.0,-,19,0,106.79%,178
8,TSLA200821P00145000,2020-01-22 11:25AM EST,145.0,1.13,0.0,1.99,0.0,-,3,0,109.55%,178
9,TSLA200821P00150000,2020-02-24 11:02AM EST,150.0,0.6,0.06,0.88,-0.08,-11.76%,4,0,97.90%,178
10,TSLA200821P00155000,2020-02-04 12:16PM EST,155.0,1.01,0.0,1.5,0.0,-,1,0,101.59%,178
11,TSLA200821P00160000,2020-02-05 10:14AM EST,160.0,2.04,0.0,1.66,0.0,-,40,0,100.98%,178
12,TSLA200821P00165000,2020-01-31 11:29AM EST,165.0,1.26,0.15,1.85,0.0,-,-,0,101.56%,178
13,TSLA200821P00170000,2020-02-13 3:19PM EST,170.0,1.0,0.19,1.77,0.0,-,1,0,99.46%,178
14,TSLA200821P00175000,2020-02-13 12:37PM EST,175.0,1.58,0.08,1.85,0.0,-,1,0,97.46%,178
15,TSLA200821P00180000,2020-02-19 1:22PM EST,180.0,0.98,0.22,1.97,0.0,-,33,0,97.36%,178
16,TSLA200821P00185000,2020-02-18 12:12AM EST,185.0,1.09,0.29,2.21,0.0,-,200,0,97.42%,178
17,TSLA200821P00190000,2020-02-19 12:13PM EST,190.0,1.0,1.14,2.3,0.0,-,100,0,100.24%,178
18,TSLA200821P00195000,2020-02-18 9:58AM EST,195.0,1.38,0.54,2.41,0.0,-,2,0,96.34%,178
19,TSLA200821P00200000,2020-02-14 3:05PM EST,200.0,1.45,1.45,2.52,0.0,-,17,0,98.97%,178
20,TSLA200821P00205000,2020-02-06 10:20AM EST,205.0,3.35,0.78,2.53,0.0,-,8,0,94.69%,178
21,TSLA200821P00210000,2020-02-10 9:31AM EST,210.0,2.02,0.9,2.76,0.0,-,1,0,94.52%,178
22,TSLA200821P00215000,2020-02-06 12:40PM EST,215.0,2.81,1.03,2.88,0.0,-,13,0,93.90%,178
23,TSLA200821P00220000,2020-02-24 1:42PM EST,220.0,2.2,1.16,3.05,1.01,+84.87%,5,0,93.43%,178
24,TSLA200821P00225000,2020-02-20 2:25PM EST,225.0,2.0,1.32,3.15,0.0,-,2,0,92.79%,178
25,TSLA200821P00230000,2020-02-19 1:01PM EST,230.0,1.8,1.47,3.3,0.0,-,2,0,92.24%,178
